Nº;Date;Time;Country;League;Home;Away;golshtHome;totalHome;golshtAway;totalAway;pHome;pAway;pSum;avgHome;sdHome;avgAway;sdAway;avgSum
48;08/08/2023;05:00;WORLD;WORLD CUP WOMEN - PLAY OFFS - 1/8-FINALS;Colombia W;Jamaica W;18;30;14;30;0,6;0,4667;1,0667;2,3667;1,6224;3,4;2,8821;5,7667
49;08/08/2023;15:00;WORLD;CLUB FRIENDLY;Mutilvera (Esp);Huarte (Esp);17;30;15;30;0,5667;0,5;1,0667;2,4333;1,6869;2,6333;1,663;5,0666
50;08/08/2023;14:00;PORTUGAL;LIGA 3 - ROUND 1;Pero Pinheiro;Covilha;16;30;16;30;0,5333;0,5333;1,0666;2,5;1,4318;2,6333;1,9232;5,1333
51;08/08/2023;10:00;TURKMENISTAN;YOKARY LIGA - ROUND 11;Kopetdag Asgabat;Energetik;16;30;16;30;0,5333;0,5333;1,0666;2,7667;1,6469;2,9;1,8859;5,6667
52;08/08/2023;14:00;ISRAEL;TOTO CUP - ROUND 4;SC Ashdod;Hapoel Tel Aviv;14;30;17;30;0,4667;0,5667;1,0334;2,9;1,4686;2,5333;1,9448;5,4333
53;08/08/2023;14:00;SWEDEN;DIVISION 1 - SÖDRA - ROUND 16;Angelholm;Eskilsminne;17;30;14;30;0,5667;0,4667;1,0334;2,3;1,4866;2,5667;1,4302;4,8667
54;08/08/2023;06:30;AUSTRALIA;NPL NSW - ROUND 27;Sutherland Sharks;Mount Druitt Rangers;21;30;10;30;0,7;0,3333;1,0333;1,9;1,3988;3,1;1,6401;5,0
55;08/08/2023;15:30;ENGLAND;EFL CUP - 1/64-FINALS;Mansfield;Grimsby;13;30;18;30;0,4333;0,6;1,0333;3,3;2,0025;2,4333;1,5638;5,7333
56;08/08/2023;15:00;ROMANIA;LIGA 2 - ROUND 1;Chindia Targoviste;Steaua Bucuresti;18;30;13;30;0,6;0,4333;1,0333;2,3667;1,1968;3,2;2,0232;5,5667
57;08/08/2023;14:00;DENMARK;LANDSPOKAL CUP - 1/64-FINALS;Thisted FC;Brabrand;16;30;15;30;0,5333;0,5;1,0333;2,4333;1,4533;2,4667;1,2841;4,9
58;08/08/2023;10:00;MALAYSIA;SUPER LEAGUE - ROUND 19;Kelantan United;Terengganu;15;30;16;30;0,5;0,5333;1,0333;3,0667;1,7876;2,6;1,7626;5,6667
59;08/08/2023;12:00;BULGARIA;VTORA LIGA - ROUND 4;Chernomorets 1919;Spartak Varna;15;30;16;30;0,5;0,5333;1,0333;2,7667;1,82;2,5667;1,4302;5,3334
60;08/08/2023;21:00;SOUTH AMERICA;COPA SUDAMERICANA - PLAY OFFS - 1/8-FINALS;Defensa y Justicia (Arg);Emelec (Ecu);15;30;16;30;0,5;0,5333;1,0333;2,4;1,3565;2,3333;1,6193;4,7333
61;08/08/2023;15:45;ENGLAND;EFL CUP - 1/64-FINALS;Accrington;Bradford City;13;30;18;30;0,4333;0,6;1,0333;2,7;1,6155;2,4667;1,7651;5,1667
62;08/08/2023;14:00;ICELAND;BESTA DEILD WOMEN - ROUND 13;Tindastoll W;Selfoss W;13;30;17;30;0,4333;0,5667;1,0;2,8;1,7588;2,4667;1,5217;5,2667
