Nº;Date;Time;Country;League;Home;Away;golshtHome;totalHome;AvgHome;golshtAway;totalAway;AvgAway;pHome;pAway;Sum
611;04/06/2023;10:00;ZIMBABWE;PREMIER SOCCER LEAGUE - ROUND 12;Highlanders;Bulawayo Chiefs;5;15;0,6;11;15;1,2;0,3333;0,7333;1,0666
612;04/06/2023;13:00;GREECE;SUPER LEAGUE 2 - ROUND 28;Veria;Karditsa;8;15;0,8;8;15;0,7333;0,5333;0,5333;1,0666
613;04/06/2023;12:00;GHANA;PREMIER LEAGUE - ROUND 33;Hearts of Oak;Real Tamale;8;15;0,9333;8;15;0,6667;0,5333;0,5333;1,0666
614;04/06/2023;09:30;MOZAMBIQUE;MOCAMBOLA - ROUND 8;Ferroviario Nacala;Ferroviario Maputo;8;15;0,7333;8;15;0,7333;0,5333;0,5333;1,0666
615;04/06/2023;16:30;ARGENTINA;TORNEO FEDERAL - ROUND 14;Villa Mitre;Germinal;7;15;0,6;7;12;1,1667;0,4667;0,5833;1,05
616;04/06/2023;11:00;GREECE;SUPER LEAGUE 2 - ROUND 28;AEL Larissa;Apollon Pontou;9;15;1,0667;3;7;0,7143;0,6;0,4286;1,0286
617;04/06/2023;17:00;DOMINICAN REPUBLIC;LDF - ROUND 14;Atlantico;Delfines Del Este;10;15;1,3333;5;15;0,4;0,6667;0,3333;1,0
618;04/06/2023;15:00;BRAZIL;SERIE D - ROUND 5;Concordia;Hercilio Luz;8;15;0,6;7;15;0,6;0,5333;0,4667;1,0
619;04/06/2023;15:30;BRAZIL;CAMPEONATO PARANAENSE 2 - ROUND 6;Toledo;Andraus;10;15;1,2667;5;15;0,6667;0,6667;0,3333;1,0
620;04/06/2023;13:15;MALI;PREMIERE DIVISION - ROUND 22;USFAS Bamako;Bakaridjan;9;15;0,8;6;15;0,5333;0,6;0,4;1,0
621;04/06/2023;11:00;BRAZIL;CAMPEONATO GAUCHO 2 - ROUND 8;EC Guarani;Pelotas;7;15;0,5333;8;15;0,6667;0,4667;0,5333;1,0
622;04/06/2023;10:45;IRAQ;SUPER LEAGUE - ROUND 32;Al Sinaah;Al Naft;6;15;0,6;9;15;1,0;0,4;0,6;1,0
623;04/06/2023;12:00;ARGENTINA;PRIMERA NACIONAL - ROUND 19;Nueva Chicago;Estudiantes Rio Cuarto;5;15;0,4667;10;15;0,8;0,3333;0,6667;1,0
624;04/06/2023;11:00;SERBIA;SUPER LIGA - RELEGATION - FINAL;Radnik;Graficar Beograd;6;15;0,6667;9;15;0,9333;0,4;0,6;1,0
625;04/06/2023;16:00;BRAZIL;SERIE D - ROUND 5;Nacional-AM;Sao Raimundo RR;7;15;0,6;8;15;1,4;0,4667;0,5333;1,0
626;04/06/2023;05:00;JAPAN;J1 LEAGUE - ROUND 16;Urawa Reds;Kashima Antlers;6;15;0,5333;9;15;0,9333;0,4;0,6;1,0
627;04/06/2023;12:00;BENIN;LIGUE 1 - CHAMPIONSHIP GROUP - ROUND 21;Dragons;ASPAC;8;15;0,7333;7;15;0,8667;0,5333;0,4667;1,0
628;04/06/2023;11:00;PORTUGAL;CAMPEONATO DE PORTUGAL - PROMOTION GROUP - ROUND 6;Amarante;SC Vianense;10;15;1,3333;5;15;0,4667;0,6667;0,3333;1,0
629;04/06/2023;09:00;UKRAINE;PREMIER LEAGUE - ROUND 30;Dnipro-1;Kryvbas;10;15;1,5333;4;12;0,3333;0,6667;0,3333;1,0
630;04/06/2023;12:00;BENIN;LIGUE 1 - CHAMPIONSHIP GROUP - ROUND 21;Coton FC;JAK;8;14;0,7857;4;10;0,4;0,5714;0,4;0,9714
631;04/06/2023;08:30;RÉUNION;REGIONALE 1 - ROUND 11;Jeanne d'Arc;Saint-Denis;3;8;0,5;8;14;1,6429;0,375;0,5714;0,9464
632;04/06/2023;20:10;ARGENTINA;PRIMERA NACIONAL - ROUND 19;San Martin T.;Def. de Belgrano;7;15;0,6;7;15;0,8;0,4667;0,4667;0,9334
633;04/06/2023;07:00;ETHIOPIA;PREMIER LEAGUE - ROUND 27;Hadiya Hossana;Ethio Electric;7;15;0,6667;7;15;0,6667;0,4667;0,4667;0,9334
634;04/06/2023;16:00;VENEZUELA;LIGA FUTVE 2 - PLAY OFFS - QUARTER-FINALS;Nueva Esparta;Heroes de Falcon;7;15;0,6;7;15;0,8;0,4667;0,4667;0,9334
635;04/06/2023;12:00;ALBANIA;SUPERLIGA - RELEGATION - FINAL;Erzeni;Korabi Peshkopi;7;15;0,7333;7;15;0,6;0,4667;0,4667;0,9334
636;04/06/2023;10:00;ZIMBABWE;PREMIER SOCCER LEAGUE - ROUND 12;Hwange;Manica;9;15;0,9333;5;15;0,4667;0,6;0,3333;0,9333
637;04/06/2023;09:00;UKRAINE;PREMIER LEAGUE - ROUND 30;Metalist 1925;Dyn. Kyiv;5;15;0,6667;9;15;1,0;0,3333;0,6;0,9333
638;04/06/2023;09:30;TAJIKISTAN;VYSSHAYA LIGA - ROUND 13;Khosilot Parkhar;Regar-TadAZ;8;15;1,0;6;15;0,6;0,5333;0,4;0,9333
639;04/06/2023;13:15;MALI;PREMIERE DIVISION - ROUND 22;Onze Createurs;CO Bamako;6;15;0,6667;8;15;0,9333;0,4;0,5333;0,9333
640;04/06/2023;10:00;BELARUS;VYSSHAYA LIGA - ROUND 11;Isloch;Neman;11;15;1,2;3;15;0,5333;0,7333;0,2;0,9333
641;04/06/2023;14:00;SENEGAL;LIGUE 1 - ROUND 22;US Goree;Excellence;6;15;0,6;8;15;0,8667;0,4;0,5333;0,9333
