Nº;ID;Date;Time;Country;League;Home;Away;golsHome;jogosHome;golsAway;jogosAway;avgHome;avgAway;avgSum;0x0;1x0;2x0;1x1;0x1;0x2;U25;O25
64;GK6NgQBj;12/09/2023;15:45;ENGLAND;SOUTHERN LEAGUE CENTRAL DIVISION - ROUND 8;Stamford;Stratford;49;27;23;19;1,6706;1,4201;3,0906;4,55;7,6;6,35;10,79;6,46;4,59;40,34;59,48
65;MZpzAlyJ;12/09/2023;17:15;PERU;LIGA 2 - ROUND 24;Alfonso Ugarte;Ayacucho;44;21;24;22;2,2067;0,9026;3,1093;4,46;9,85;10,87;8,89;4,03;1,82;39,92;59,32
66;M5okZ0Ug;12/09/2023;13:45;ICELAND;BESTA DEILD WOMEN - CHAMPIONSHIP GROUP - ROUND 2;Hafnarfjordur W;Throttur W;37;21;33;22;1,6537;1,4643;3,118;4,42;7,32;6,05;10,71;6,48;4,74;39,72;60,07
67;QN1dJoKj;12/09/2023;12:00;ARGENTINA;PRIMERA A WOMEN - CLAUSURA - ROUND 4;Defensores de Belgrano W;San Lorenzo W;24;21;35;20;1,1964;1,9226;3,119;4,42;5,29;3,16;10,17;8,5;8,17;39,71;59,91
68;jP7p0flB;12/09/2023;15:45;EUROPE;EURO - QUALIFICATION - ROUND 6;Italy;Ukraine;52;24;37;24;1,9792;1,1458;3,125;4,39;8,7;8,61;9,96;5,03;2,88;39,57;59,97
69;GbBaqd5K;12/09/2023;15:45;ENGLAND;SOUTHERN LEAGUE SOUTH DIVISION - ROUND 8;Hendon;Bracknell;33;23;38;21;1,4317;1,7091;3,1408;4,32;6,19;4,43;10,58;7,39;6,32;39,23;60,53
70;YBeSnXm6;12/09/2023;12:45;EUROPE;EURO U21 - QUALIFICATION;Malta U21;Hungary U21;21;24;24;20;1,2125;1,9333;3,1458;4,3;5,22;3,16;10,09;8,32;8,04;39,13;60,45
71;8j7qsk1F;12/09/2023;15:45;EUROPE;EURO - QUALIFICATION - ROUND 6;Israel;Belarus;39;20;18;22;1,9977;1,1591;3,1568;4,26;8,5;8,49;9,86;4,93;2,86;38,9;60,64
72;AZP2rGKQ;12/09/2023;15:45;ENGLAND;SOUTHERN LEAGUE SOUTH DIVISION - ROUND 8;Hungerford;Dorchester;43;22;25;21;2,0725;1,0952;3,1677;4,21;8,72;9,04;9,56;4,61;2,52;38,66;60,74
73;dMfgoEyo;12/09/2023;15:00;GERMANY;OBERLIGA MITTELRHEIN - ROUND 5;Frechen;Siegburger;39;20;30;21;1,8321;1,3393;3,1714;4,19;7,68;7,04;10,29;5,62;3,76;38,58;61,11
74;txiJkKoc;12/09/2023;12:00;EUROPE;EURO U21 - QUALIFICATION;Finland U21;Switzerland U21;29;20;36;22;1,4295;1,7432;3,1727;4,19;5,99;4,28;10,44;7,3;6,36;38,56;61,15
75;xKYjC8YE;12/09/2023;15:30;EUROPE;EURO U21 - QUALIFICATION;Ireland U21;San Marino U21;35;19;1;22;2,7165;0,4701;3,1866;4,13;11,22;15,24;5,28;1,94;0,46;38,27;59,58
76;S2pOU3is;12/09/2023;13:30;EUROPE;EURO U21 - QUALIFICATION;Iceland U21;Czech Republic U21;40;18;28;19;1,7164;1,4868;3,2032;4,06;6,97;5,98;10,37;6,04;4,49;37,91;61,78
77;WAavpeEr;12/09/2023;14:00;EUROPE;EURO U21 - QUALIFICATION;Faroe Islands U21;Croatia U21;23;22;43;22;1,2045;2,0;3,2045;4,06;4,89;2,94;9,78;8,12;8,12;37,91;61,6
78;GCQ0hdyP;12/09/2023;16:30;NORTH & CENTRAL AMERICA;CONCACAF NATIONS LEAGUE - LEAGUE B - ROUND 2;Saint Vincent and the Grenadines;Bermuda;27;21;22;21;1,8095;1,4048;3,2143;4,02;7,27;6,58;10,21;5,64;3,96;37,68;61,97
79;z3jwvToh;12/09/2023;13:00;EUROPE;EURO U21 - QUALIFICATION;Austria U21;Bosnia & Herzegovina U21;58;20;26;22;2,1318;1,1159;3,2477;3,89;8,28;8,83;9,25;4,34;2,42;37,01;62,37
80;AJNv2l4A;12/09/2023;15:45;ENGLAND;SOUTHERN LEAGUE CENTRAL DIVISION - ROUND 8;Coalville;Redditch;45;20;25;19;2,0461;1,2079;3,2539;3,86;7,9;8,08;9,54;4,67;2,82;36,87;62,54
81;OhUNFdfn;12/09/2023;12:30;ASIA;AFC ASIAN CUP U23 - QUALIFICATION - ROUND 3;Japan U23;Bahrain U23;55;23;30;21;2,2195;1,0839;3,3033;3,68;8,16;9,05;8,84;3,98;2,16;35,87;63,33
82;vgQ4kW8B;12/09/2023;13:00;EUROPE;EURO U21 - QUALIFICATION;Estonia U21;Poland U21;16;20;41;22;1,1045;2,2068;3,3114;3,65;4,03;2,22;8,89;8,05;8,88;35,72;63,53
83;Cr4OWzAN;12/09/2023;09:00;ENGLAND;PROFESSIONAL DEVELOPMENT LEAGUE;Sheffield Utd U21;Cardiff U21;51;20;28;22;2,2523;1,0864;3,3386;3,55;7,99;9,0;8,68;3,85;2,09;35,16;63,97
84;QFNgiqH7;12/09/2023;15:45;ENGLAND;EFL TROPHY;Notts Co;Wolves U21;48;21;24;21;2,1905;1,1905;3,381;3,4;7,45;8,16;8,87;4,05;2,41;34,34;64,87
85;4t1sB8DL;12/09/2023;10:00;ENGLAND;PROFESSIONAL DEVELOPMENT LEAGUE;Peterborough U21;Bristol City U21;39;19;27;20;1,6513;1,7539;3,4053;3,32;5,48;4,53;9,62;5,82;5,11;33,88;65,7
86;v1lD3V8t;12/09/2023;23:00;MEXICO;LIGA MX WOMEN - APERTURA - ROUND 10;Atl. San Luis W;Club America W;37;21;50;22;1,5628;1,8506;3,4134;3,29;5,15;4,02;9,52;6,09;5,64;33,71;65,88
87;8A5wxEcf;12/09/2023;15:45;ENGLAND;SOUTHERN LEAGUE SOUTH DIVISION - ROUND 8;Swindon S;Beaconsfield Town;40;24;31;20;1,6333;1,7958;3,4292;3,24;5,29;4,32;9,51;5,82;5,23;33,41;66,15
88;rToYVYzm;12/09/2023;10:00;BULGARIA;BULGARIAN CUP - 1/32-FINALS;Nesebar;Septemvri Sofia;64;22;25;19;2,2967;1,1352;3,4318;3,23;7,42;8,53;8,43;3,67;2,08;33,36;65,68
89;CrCUwzTs;12/09/2023;15:45;ENGLAND;SOUTHERN LEAGUE SOUTH DIVISION - ROUND 8;Poole;Gosport;42;21;46;21;1,881;1,6429;3,5238;2,95;5,55;5,22;9,11;4,84;3,98;31,65;67,86
90;t6pEUzzN;12/09/2023;14:30;GERMANY;OBERLIGA HAMBURG - ROUND 8;Tornesch;Halstenbek-Rellingen;24;21;19;21;1,9286;1,619;3,5476;2,88;5,55;5,35;8,99;4,66;3,77;31,2;68,29
