Nº;Date;Time;Country;League;Home;Away;golsHome;jogosHome;golsAway;jogosAway;avgHome;avgAway;avgSum;0x0;1x0;2x0;1x1;0x1;0x2;U25;O25
124;10/09/2023;19:00;BRAZIL;SERIE C - SECOND STAGE - ROUND 2;Volta Redonda;Botafogo PB;37;20;20;21;1,4726;0,9762;2,4488;8,64;12,72;9,37;12,42;8,43;4,12;55,7;44,17
125;10/09/2023;11:00;PORTUGAL;TAÇA DE PORTUGAL - 1/128-FINALS;Aliados Lordelo;SC Vianense;34;23;35;24;1,1766;1,2726;2,4493;8,64;10,16;5,98;12,93;10,99;6,99;55,69;44,26
126;10/09/2023;12:00;SPAIN;SEGUNDA RFEF - GROUP 3 - ROUND 2;Andratx;Penya Indep.;48;21;27;20;1,5429;0,9131;2,456;8,58;13,23;10,21;12,08;7,83;3,58;55,51;44,38
127;10/09/2023;13:30;SPAIN;SEGUNDA RFEF - GROUP 3 - ROUND 2;Badalona Futur;Alzira;27;20;20;17;1,4985;0,9632;2,4618;8,53;12,78;9,58;12,31;8,21;3,96;55,37;44,52
128;10/09/2023;13:00;TURKEY;2. LIG RED GROUP - ROUND 3;Amedspor;Duzcespor;37;21;30;22;1,4946;0,9675;2,4621;8,53;12,74;9,52;12,33;8,25;3,99;55,36;44,52
129;10/09/2023;11:00;SERBIA;SRPSKA LIGA - VOJVODINA - ROUND 5;Podunavac Belegis;Hajduk 1912;16;17;21;20;1,2956;1,1721;2,4676;8,48;10,98;7,12;12,87;9,94;5,82;55,21;44,73
130;10/09/2023;15:45;ITALY;SERIE C - GROUP C - ROUND 2;Monopoli;Monterosi;30;21;25;23;1,3882;1,0911;2,4793;8,38;11,63;8,07;12,69;9,14;4,99;54,9;45,0
131;10/09/2023;13:00;SPAIN;TERCERA RFEF - GROUP 6 - ROUND 1;Acero;Rayo Ibense;29;22;19;21;1,5877;0,9069;2,4946;8,25;13,1;10,4;11,88;7,48;3,39;54,5;45,33
132;10/09/2023;17:00;PERU;LIGA 1 - CLAUSURA - ROUND 12;Sport Boys;Sporting Cristal;24;21;28;21;1,1667;1,3333;2,5;8,21;9,58;5,59;12,77;10,94;7,3;54,39;45,55
133;10/09/2023;11:00;SERBIA;SRPSKA LIGA - BELGRADE - ROUND 5;Radnicki Obrenovac;Usce;32;21;24;21;1,4286;1,0714;2,5;8,21;11,73;8,38;12,56;8,79;4,71;54,38;45,54
134;10/09/2023;14:00;SERBIA;PRVA LIGA - ROUND 6;Kolubara;Radnicki Beograd;15;19;21;19;1,3947;1,1053;2,5;8,21;11,45;7,98;12,65;9,07;5,01;54,37;45,53
135;10/09/2023;12:00;SPAIN;TERCERA RFEF - GROUP 16 - ROUND 1;Vianes;UD Logrones B;25;22;13;21;1,5682;0,9459;2,5141;8,09;12,69;9,95;12,01;7,66;3,62;54,02;45,83
136;10/09/2023;17:30;BRAZIL;SERIE D - PLAY OFFS - SEMI-FINALS;Ferroviario;SER Caxias;44;19;20;20;1,7329;0,7895;2,5224;8,03;13,91;12,05;10,98;6,34;2,5;53,81;45,99
137;10/09/2023;15:45;BRAZIL;SERIE B - ROUND 27;Atletico GO;Juventude;41;22;24;22;1,5;1,0227;2,5227;8,02;12,04;9,03;12,31;8,21;4,2;53,81;46,09
138;10/09/2023;12:30;ITALY;SERIE D - GROUP C - ROUND 1;Union Clodiense;Treviso;34;23;15;22;1,5573;0,9713;2,5287;7,98;12,42;9,67;12,07;7,75;3,76;53,65;46,23
139;10/09/2023;14:00;SPAIN;TERCERA RFEF - GROUP 13 - ROUND 1;CAP Ciudad de Murcia;EG El Palmar CF;18;20;28;21;1,331;1,2167;2,5476;7,83;10,42;6,93;12,67;9,52;5,79;53,16;46,73
140;10/09/2023;16:00;SPAIN;LALIGA2 - ROUND 5;Valladolid;Elche;26;20;18;20;1,425;1,125;2,55;7,81;11,13;7,93;12,52;8,78;4,94;53,11;46,81
141;10/09/2023;15:30;ARGENTINA;PRIMERA C - ROUND 34;Liniers;Yupanqui;31;21;18;22;1,579;0,9805;2,5595;7,73;12,21;9,64;11,97;7,58;3,72;52,85;46,99
142;10/09/2023;20:00;ECUADOR;SERIE B - ROUND 29;Manta;Imbabura;32;22;31;23;1,5968;0,9694;2,5662;7,68;12,27;9,79;11,89;7,45;3,61;52,69;47,13
143;10/09/2023;13:00;EUROPE;EURO - QUALIFICATION - ROUND 6;Finland;Denmark;26;21;41;22;1,2327;1,3366;2,5693;7,66;9,44;5,82;12,62;10,24;6,84;52,62;47,31
144;10/09/2023;13:30;SPAIN;TERCERA RFEF - GROUP 18 - ROUND 1;Quintanar;Albacete B;35;24;30;22;1,411;1,161;2,572;7,64;10,78;7,6;12,51;8,87;5,15;52,55;47,36
145;10/09/2023;14:00;SPAIN;SEGUNDA RFEF - GROUP 3 - ROUND 2;Espanyol B;La Nucia;27;22;23;21;1,4946;1,1158;2,6104;7,35;10,99;8,21;12,26;8,2;4,58;51,59;48,31
146;10/09/2023;21:00;USA;NISA;Albion San Diego;Chattanooga;31;21;40;20;1,2131;1,4048;2,6179;7,3;8,85;5,37;12,43;10,25;7,2;51,4;48,49
147;10/09/2023;15:30;ARGENTINA;PRIMERA D - SECOND STAGE - ROUND 12;CSR Espanol;Lugano;28;21;27;21;1,4286;1,1905;2,619;7,29;10,41;7,44;12,39;8,68;5,16;51,37;48,57
148;10/09/2023;13:00;EUROPE;EURO - QUALIFICATION - ROUND 6;Faroe Islands;Moldova;21;21;10;19;1,5;1,1203;2,6203;7,28;10,92;8,19;12,23;8,15;4,57;51,34;48,58
149;10/09/2023;10:00;PORTUGAL;TAÇA DE PORTUGAL - 1/128-FINALS;AD Fafe;Felgueiras;26;23;35;22;1,1107;1,5128;2,6235;7,25;8,06;4,47;12,19;10,98;8,3;51,25;48,65
150;10/09/2023;13:00;SPAIN;TERCERA RFEF - GROUP 18 - ROUND 1;Tomelloso;La Solana;25;21;15;20;1,4452;1,1845;2,6298;7,21;10,42;7,53;12,34;8,54;5,06;51,1;48,82
151;10/09/2023;15:00;SPAIN;TERCERA RFEF - GROUP 9 - ROUND 1;Torredonjimeno;Mancha;37;22;18;22;1,5227;1,1136;2,6364;7,16;10,91;8,3;12,15;7,98;4,44;50,94;48,92
152;10/09/2023;17:00;VENEZUELA;LIGA FUTVE 2 - CLAUSURA - ROUND 11;Urena;Academia Rey;43;22;16;21;1,8106;0,8355;2,6461;7,09;12,84;11,63;10,73;5,93;2,48;50,7;49,01
153;10/09/2023;11:30;SPAIN;TERCERA RFEF - GROUP 7 - ROUND 1;Galapagar;AD Torrejon;29;22;24;21;1,421;1,2305;2,6515;7,05;10,02;7,12;12,34;8,68;5,34;50,55;49,34
154;10/09/2023;16:00;CANADA;U SPORTS;UNBC;Thompson Rivers;34;22;26;24;1,3144;1,3371;2,6515;7,05;9,27;6,09;12,4;9,43;6,31;50,55;49,37
155;10/09/2023;18:15;CANADA;U SPORTS;Victoria;UFV;29;22;29;21;1,3972;1,2587;2,6558;7,02;9,81;6,86;12,35;8,84;5,56;50,44;49,43
156;10/09/2023;21:06;NORTH & CENTRAL AMERICA;CONCACAF NATIONS LEAGUE - LEAGUE A - ROUND 2;Guatemala;Panama;41;23;30;25;1,7313;0,9261;2,6574;7,01;12,14;10,51;11,24;6,49;3,01;50,4;49,38
157;10/09/2023;21:00;PERU;LIGA 1 - CLAUSURA - ROUND 12;U. de Deportes;Dep. Municipal;38;20;26;22;1,8591;0,8159;2,675;6,89;12,81;11,91;10,45;5,62;2,29;49,97;49,72
158;10/09/2023;13:00;SPAIN;TERCERA RFEF - GROUP 18 - ROUND 1;Torrijos;Puertollano C.F.;32;20;28;22;1,5273;1,1614;2,6886;6,8;10,38;7,93;12,06;7,89;4,58;49,64;50,26
159;10/09/2023;13:00;ICELAND;BESTA DEILD WOMEN - RELEGATION GROUP - ROUND 2;Selfoss W;Tindastoll W;25;21;16;20;1,6702;1,019;2,6893;6,79;11,35;9,48;11,56;6,92;3,53;49,63;50,21
160;10/09/2023;20:10;COLOMBIA;PRIMERA A - CLAUSURA - ROUND 10;America De Cali;Dep. Cali;31;21;22;22;1,6926;1,0;2,6926;6,77;11,46;9,7;11,46;6,77;3,39;49,55;50,29
161;10/09/2023;12:00;SPAIN;TERCERA RFEF - GROUP 11 - ROUND 1;Mercadal;Inter Manacor;34;20;11;15;1,9167;0,7917;2,7083;6,66;12,77;12,24;10,11;5,28;2,09;49,15;50,46
162;10/09/2023;15:45;EUROPE;EURO - QUALIFICATION - ROUND 6;Lithuania;Serbia;16;20;37;24;0,9208;1,7958;2,7167;6,61;6,09;2,8;10,93;11,87;10,66;48,96;50,8
163;10/09/2023;20:00;CHILE;PRIMERA B - ROUND 26;San Marcos de Arica;S. Wanderers;40;19;25;21;1,6479;1,0689;2,7168;6,61;10,89;8,97;11,64;7,06;3,78;48,95;50,89
164;10/09/2023;11:00;PORTUGAL;TAÇA DE PORTUGAL - 1/128-FINALS;Louletano;Imortal;48;23;21;23;1,7391;0,9783;2,7174;6,6;11,49;9,99;11,24;6,46;3,16;48,94;50,83
165;10/09/2023;11:00;SLOVAKIA;3. LIGA - EAST - ROUND 6;Spisske Podhradie;Filakovo;41;19;25;24;1,9123;0,8103;2,7226;6,57;12,56;12,01;10,18;5,32;2,16;48,8;50,81
166;10/09/2023;16:15;CANADA;U SPORTS;Guelph;Western;47;21;34;21;1,619;1,119;2,7381;6,47;10,47;8,48;11,72;7,24;4,05;48,43;51,4
167;10/09/2023;22:20;COLOMBIA;PRIMERA A - CLAUSURA - ROUND 10;Millonarios;Santa Fe;37;21;23;21;1,8333;0,9048;2,7381;6,47;11,86;10,87;10,73;5,85;2,65;48,43;51,29
168;10/09/2023;11:00;BULGARIA;THIRD LEAGUE - SOUTH-EAST - ROUND 6;Karnobat;Botev Plovdiv II;31;21;12;21;1,5952;1,1429;2,7381;6,47;10,32;8,23;11,79;7,39;4,22;48,42;51,45
169;10/09/2023;20:00;PARAGUAY;PRIMERA DIVISION - CLAUSURA - ROUND 10;Cerro Porteno;Nacional Asuncion;37;22;26;23;1,5148;1,2243;2,7391;6,46;9,79;7,41;11,99;7,91;4,84;48,4;51,47
170;10/09/2023;14:00;CANADA;U SPORTS;Concordia;UQAM;31;21;18;20;1,5131;1,2357;2,7488;6,4;9,68;7,33;11,97;7,91;4,89;48,18;51,68
171;10/09/2023;14:00;SPAIN;TERCERA RFEF - GROUP 9 - ROUND 1;Rincon;CD Torreperogil;29;22;16;22;1,5909;1,1591;2,75;6,39;10,17;8,09;11,79;7,41;4,29;48,14;51,68
172;10/09/2023;13:00;SPAIN;TERCERA RFEF - GROUP 2 - ROUND 1;Tuilla;Real Titanico;29;21;17;20;1,5155;1,2345;2,75;6,39;9,69;7,34;11,96;7,89;4,87;48,14;51,71
173;10/09/2023;13:00;TURKEY;2. LIG RED GROUP - ROUND 3;Isparta 32 Spor;Denizlispor;30;20;17;20;1,85;0,9;2,75;6,39;11,83;10,94;10,64;5,75;2,59;48,14;51,54
174;10/09/2023;17:00;COSTA RICA;LIGA DE ASCENSO - APERTURA - ROUND 10;Santa Ana;Limon Black Star;37;21;31;22;1,4719;1,2998;2,7716;6,26;9,21;6,78;11,97;8,13;5,28;47,63;52,23
175;10/09/2023;12:00;SPAIN;TERCERA RFEF - GROUP 16 - ROUND 1;Tedeon;Comillas;18;21;20;22;1,5195;1,2641;2,7835;6,18;9,39;7,14;11,87;7,81;4,94;47,33;52,52
176;10/09/2023;12:30;SPAIN;TERCERA RFEF - GROUP 16 - ROUND 1;CDFC Calzada;Alfaro;38;21;18;18;1,9048;0,881;2,7857;6,17;11,75;11,19;10,35;5,43;2,39;47,28;52,35
177;10/09/2023;14:00;SPAIN;TERCERA RFEF - GROUP 5 - ROUND 1;L Hospitalet;Grama;38;21;25;22;1,7684;1,0206;2,789;6,15;10,87;9,61;11,1;6,27;3,2;47,2;52,55
178;10/09/2023;15:00;SPAIN;TERCERA RFEF - GROUP 9 - ROUND 1;Arenas Armilla;Motril;27;22;33;22;1,5;1,2955;2,7955;6,11;9,16;6,87;11,87;7,91;5,13;47,05;52,84
179;10/09/2023;11:30;SLOVAKIA;4. LIGA - BRATISLAVA - ROUND 6;Nova Dedinka;Domino;34;23;22;22;1,6255;1,1739;2,7994;6,08;9,89;8,04;11,61;7,14;4,19;46,95;52,89
180;10/09/2023;22:05;MEXICO;LIGA DE EXPANSION MX - APERTURA - ROUND 8;Atl. Morelia;Atletico La Paz;38;23;19;20;2,0011;0,8011;2,8022;6,07;12,14;12,15;9,73;4,86;1,95;46,9;52,61
181;10/09/2023;20:00;NORTH & CENTRAL AMERICA;CONCACAF NATIONS LEAGUE - LEAGUE B - ROUND 2;Saint Lucia;Saint Kitts and Nevis;21;21;34;23;1,3043;1,501;2,8054;6,05;7,89;5,15;11,84;9,08;6,81;46,82;53,05
182;10/09/2023;15:45;ITALY;SERIE C - GROUP B - ROUND 2;Perugia;Pescara;29;21;29;20;1,4655;1,344;2,8095;6,02;8,83;6,47;11,86;8,1;5,44;46,72;53,16
183;10/09/2023;13:00;SPAIN;TERCERA RFEF - GROUP 16 - ROUND 1;Calahorra B;Berceo;28;21;28;21;1,381;1,4286;2,8095;6,02;8,32;5,74;11,88;8,6;6,15;46,71;53,13
184;10/09/2023;13:00;SPAIN;TERCERA RFEF - GROUP 17 - ROUND 1;Almudevar;Binefar;40;23;31;23;1,5217;1,3043;2,8261;5,92;9,02;6,86;11,76;7,73;5,04;46,33;53,54
185;10/09/2023;15:45;EUROPE;EURO - QUALIFICATION - ROUND 6;San Marino;Slovenia;3;21;28;21;0,6667;2,1667;2,8333;5,88;3,92;1,31;8,5;12,74;13,81;46,16;53,15
186;10/09/2023;10:00;BELGIUM;SECOND AMATEUR DIVISION GROUP ACFF - ROUND 3;Binche;Warnant;45;21;31;21;1,619;1,2143;2,8333;5,88;9,52;7,71;11,56;7,14;4,34;46,15;53,65
187;10/09/2023;11:00;SLOVAKIA;4. LIGA - WEST - ROUND 6;Z. Moravce-Vrable B;Hurbanovo;44;21;19;20;1,9226;0,9274;2,85;5,78;11,12;10,69;10,31;5,36;2,49;45,75;53,85
188;10/09/2023;18:00;CANADA;U SPORTS;Mount Royal;Alberta;60;20;24;21;1,9048;0,9464;2,8512;5,78;11,0;10,48;10,42;5,47;2,59;45,74;53,9
189;10/09/2023;13:00;LIBERIA;LFA FIRST DIVISION - ROUND 1;Mighty Barrolle;Freeport;45;21;22;21;1,5952;1,2619;2,8571;5,74;9,16;7,31;11,56;7,25;4,57;45,59;54,18
190;10/09/2023;14:00;SPAIN;TERCERA RFEF - GROUP 13 - ROUND 1;Lorca Deportiva;Bullense;36;22;12;24;2,1307;0,7273;2,858;5,74;12,23;13,03;8,89;4,17;1,52;45,58;53,78
191;10/09/2023;15:00;MEXICO;LIGA PREMIER SERIE B - ROUND 5;Zitacuaro;Pachuca 2;31;22;41;16;1,0795;1,7812;2,8608;5,72;6,18;3,33;11,0;10,19;9,08;45,5;54,22
192;10/09/2023;11:30;BOSNIA AND HERZEGOVINA;PRVA LIGA - FBIH - ROUND 5;Stupcanica;BFK Simm Bau;30;18;32;22;1,7197;1,1439;2,8636;5,71;9,81;8,44;11,23;6,53;3,73;45,45;54,34
193;10/09/2023;11:00;BELGIUM;BELGIAN CUP - QUALIFICATION - FINAL;URSL Vise;Lommel SK;38;24;25;19;1,6338;1,2412;2,875;5,64;9,22;7,53;11,44;7,0;4,35;45,18;54,63
194;10/09/2023;16:00;FRANCE;SUPER CUP WOMEN - FINAL;Lyon W;Paris SG W;65;25;42;23;1,6261;1,253;2,8791;5,62;9,14;7,43;11,45;7,04;4,41;45,09;54,71
195;10/09/2023;10:00;BELGIUM;SECOND AMATEUR DIVISION GROUP ACFF - ROUND 3;Royal Union SG 2;Stade Vervietois;31;19;22;21;1,6491;1,2343;2,8835;5,59;9,23;7,61;11,39;6,9;4,26;44,98;54,81
196;10/09/2023;15:45;EUROPE;EURO - QUALIFICATION - ROUND 6;Greece;Gibraltar;27;19;5;22;2,3242;0,561;2,8852;5,58;12,98;15,08;7,28;3,13;0,88;44,93;54,07
197;10/09/2023;10:00;SWEDEN;DIVISION 2 - SÖDRA GÖTALAND - ROUND 20;IFK Trelleborg;Karlskrona;27;17;34;23;1,4463;1,445;2,8913;5,55;8,03;5,81;11,6;8,02;5,79;44,8;55,03
198;10/09/2023;12:30;CHILE;PRIMERA B - ROUND 26;Antofagasta;U. De Concepcion;37;21;22;20;1,806;1,0976;2,9036;5,48;9,9;8,94;10,87;6,02;3,3;44,51;55,19
199;10/09/2023;11:00;SERBIA;SRPSKA LIGA - EAST - ROUND 5;Radnicki Pirot;Trayal Krusevac;62;21;15;21;2,1905;0,7143;2,9048;5,48;12,0;13,14;8,57;3,91;1,4;44,5;54,74
200;10/09/2023;23:06;MEXICO;LIGA MX WOMEN - APERTURA - ROUND 10;Juarez W;Necaxa W;38;21;10;21;1,9286;0,9762;2,9048;5,48;10,56;10,18;10,31;5,35;2,61;44,49;55,15
201;10/09/2023;21:00;USA;MLS;Los Angeles Galaxy;St. Louis City;34;23;27;20;1,5891;1,3272;2,9163;5,41;8,6;6,84;11,42;7,18;4,77;44,22;55,63
202;10/09/2023;12:00;ITALY;SERIE D - GROUP H - ROUND 1;Citta di Fasano;Matera;29;21;28;22;1,7587;1,1602;2,9188;5,4;9,5;8,35;11,02;6,26;3,63;44,16;55,62
203;10/09/2023;16:00;COSTA RICA;LIGA DE ASCENSO - APERTURA - ROUND 10;Quepos Cambute;AD Sarchi;46;24;24;21;1,7917;1,1339;2,9256;5,36;9,61;8,61;10,9;6,08;3,45;44,01;55,74
204;10/09/2023;11:00;PORTUGAL;TAÇA DE PORTUGAL - 1/128-FINALS;Mondinense;CDC Montalegre;18;21;31;21;1,2619;1,6667;2,9286;5,35;6,75;4,26;11,25;8,91;7,43;43,95;55,86
205;10/09/2023;12:00;CZECH REPUBLIC;CFL - GROUP A - ROUND 6;Hostoun;FK Robstav;30;21;27;23;1,6056;1,3251;2,9306;5,34;8,57;6,88;11,35;7,07;4,68;43,89;55,92
206;10/09/2023;19:00;COSTA RICA;PRIMERA DIVISION - APERTURA - ROUND 8;Grecia;Alajuelense;33;20;37;21;1,325;1,606;2,931;5,33;7,07;4,68;11,35;8,57;6,88;43,88;55,92
207;10/09/2023;14:00;COSTA RICA;PRIMERA DIVISION - APERTURA - ROUND 8;Cartagines;Herediano;40;20;34;23;1,7391;1,2141;2,9533;5,22;9,07;7,89;11,02;6,33;3,85;43,38;56,36
208;10/09/2023;10:00;SWITZERLAND;1.LIGA CLASSIC GROUP 3;Wettswil-Bonstetten;Grasshopper II;37;23;29;22;1,7362;1,2243;2,9605;5,18;8,99;7,81;11,01;6,34;3,88;43,21;56,53
209;10/09/2023;11:00;BULGARIA;THIRD LEAGUE - NORTH-EAST - ROUND 5;Spartak II;Lokomotiv Ruse;28;19;14;21;1,9749;0,9912;2,9662;5,15;10,17;10,04;10,08;5,1;2,53;43,07;56,47
210;10/09/2023;12:30;SPAIN;TERCERA RFEF - GROUP 4 - ROUND 1;Leioa;Touring KE;46;23;16;15;1,9;1,0768;2,9768;5,1;9,68;9,2;10,43;5,49;2,95;42,85;56,79
211;10/09/2023;12:00;CZECH REPUBLIC;CFL - GROUP B - ROUND 6;Zapy;FK Ceska Lipa;50;22;31;22;1,7273;1,25;2,9773;5,09;8,8;7,6;11,0;6,37;3,98;42,84;56,91
212;10/09/2023;13:30;SPAIN;TERCERA RFEF - GROUP 15 - ROUND 1;CD Cantolagua;Subiza;35;21;30;20;1,4583;1,5357;2,994;5,01;7,3;5,33;11,22;7,69;5,91;42,46;57,35
213;10/09/2023;12:00;SPAIN;TERCERA RFEF - GROUP 16 - ROUND 1;Varea;Arnedo;40;21;20;20;1,9274;1,0714;2,9988;4,98;9,61;9,26;10,29;5,34;2,86;42,34;57,24
214;10/09/2023;15:45;EUROPE;EURO - QUALIFICATION - ROUND 6;Albania;Poland;30;20;30;18;1,6667;1,3333;3,0;4,98;8,3;6,91;11,06;6,64;4,43;42,32;57,44
215;10/09/2023;11:00;SLOVAKIA;4. LIGA - WEST - ROUND 6;Gbely;Levice;41;22;19;22;2,0682;0,9318;3,0;4,98;10,3;10,65;9,59;4,64;2,16;42,32;57,11
216;10/09/2023;13:00;SPAIN;PRIMERA FEDERACION WOMEN - ROUND 1;DUX Logrono W;Alhama W;33;22;15;18;1,9722;1,0303;3,0025;4,97;9,79;9,66;10,09;5,12;2,64;42,27;57,33
217;10/09/2023;10:00;BELGIUM;SECOND AMATEUR DIVISION GROUP VFV B - ROUND 3;Belisia Bilzen;Diegem;38;21;28;20;1,7798;1,2238;3,0036;4,96;8,83;7,86;10,81;6,07;3,72;42,25;57,48
218;10/09/2023;13:00;ITALY;SERIE D - GROUP H - ROUND 1;Martina Calcio;Manfredonia;21;21;22;22;1,7727;1,2381;3,0108;4,93;8,73;7,74;10,81;6,1;3,77;42,08;57,64
219;10/09/2023;13:00;SPAIN;TERCERA RFEF - GROUP 5 - ROUND 1;Rapitenca;Vilafranca;24;16;27;22;1,6818;1,3324;3,0142;4,91;8,26;6,94;11,0;6,54;4,36;42,01;57,76
220;10/09/2023;11:00;PORTUGAL;TAÇA DE PORTUGAL - 1/128-FINALS;SC Vila Real;Ribeirao;25;21;22;22;1,7543;1,2619;3,0162;4,9;8,59;7,54;10,84;6,18;3,9;41,95;57,8
221;10/09/2023;13:00;ICELAND;BESTA DEILD WOMEN - RELEGATION GROUP - ROUND 2;IBV Vestmannaeyjar W;Keflavik W;35;23;22;21;1,6418;1,3934;3,0352;4,81;7,89;6,48;11,0;6,7;4,67;41,55;58,29
222;10/09/2023;10:00;ITALY;COPPA ITALIA WOMEN - 1/16-FINALS;Arezzo W;Lazio W;28;23;50;22;1,1996;1,8755;3,0751;4,62;5,54;3,32;10,39;8,66;8,12;40,65;59,0
223;10/09/2023;19:30;USA;USL CHAMPIONSHIP;Birmingham;New Mexico;39;23;34;24;1,6812;1,404;3,0851;4,57;7,69;6,46;10,79;6,42;4,51;40,44;59,33
224;10/09/2023;11:00;PORTUGAL;TAÇA DE PORTUGAL - 1/128-FINALS;Pero Pinheiro;Caldas;45;24;29;20;1,7375;1,35;3,0875;4,56;7,93;6,89;10,7;6,16;4,16;40,4;59,34
225;10/09/2023;14:00;CANADA;U SPORTS;Laval;UQTR;46;22;44;23;1,6759;1,4111;3,087;4,56;7,65;6,41;10,79;6,44;4,54;40,39;59,35
226;10/09/2023;15:15;CANADA;U SPORTS;StFX;Saint Marys;39;20;37;21;1,7369;1,356;3,0929;4,54;7,88;6,84;10,69;6,15;4,17;40,27;59,42
227;10/09/2023;14:15;CANADA;U SPORTS;Moncton;Memorial;41;21;20;21;1,9286;1,1667;3,0952;4,53;8,73;8,42;10,18;5,28;3,08;40,22;59,39
228;10/09/2023;10:00;BELGIUM;SECOND AMATEUR DIVISION GROUP VFV A - ROUND 3;Cercle Brugge KSV 2;Waregem 2;26;18;37;18;1,4167;1,6944;3,1111;4,46;6,31;4,47;10,69;7,55;6,4;39,88;59,89
229;10/09/2023;17:15;PERU;LIGA 2 - ROUND 24;Llacuabamba;U. San Martin;41;21;26;22;2,0216;1,0909;3,1126;4,45;8,99;9,09;9,81;4,85;2,65;39,84;59,67
230;10/09/2023;12:00;CZECH REPUBLIC;DIVISION C - ROUND 6;Hlinsko;Benesov;37;22;27;21;1,7219;1,3929;3,1147;4,44;7,64;6,58;10,65;6,18;4,31;39,8;59,94
231;10/09/2023;21:06;MEXICO;LIGA MX WOMEN - APERTURA - ROUND 10;Santos Laguna W;Monterrey W;30;22;33;21;1,1818;1,9448;3,1266;4,39;5,18;3,06;10,08;8,53;8,3;39,54;60,04
232;10/09/2023;11:00;SLOVAKIA;3. LIGA - EAST - ROUND 6;Oravske Vesele;Namestovo;44;20;17;22;2,3727;0,7614;3,1341;4,35;10,33;12,26;7,87;3,31;1,26;39,38;59,5
233;10/09/2023;11:30;SLOVAKIA;3. LIGA - WEST - ROUND 6;Dubnica;Velke Ludince;23;22;27;22;1,3636;1,7727;3,1364;4,34;5,92;4,04;10,5;7,7;6,83;39,33;60,39
234;10/09/2023;12:00;SWITZERLAND;1.LIGA CLASSIC GROUP 3;Mendrisio;Taverne;24;21;24;19;1,6241;1,5125;3,1366;4,34;7,05;5,73;10,67;6,57;4,97;39,33;60,45
235;10/09/2023;11:00;PORTUGAL;TAÇA DE PORTUGAL - 1/128-FINALS;Fornos de Algodres;Oliveira Hospital;10;16;18;20;1,1875;1,95;3,1375;4,34;5,15;3,06;10,05;8,46;8,25;39,31;60,25
236;10/09/2023;10:00;ITALY;COPPA ITALIA WOMEN - 1/16-FINALS;Brescia W;Chievo Verona W;47;21;28;22;1,8463;1,303;3,1494;4,29;7,92;7,31;10,32;5,59;3,64;39,07;60,61
237;10/09/2023;14:30;QATAR;QSL CUP - ROUND 1;Al-Gharafa;Al Markhiya;35;22;31;24;1,858;1,3049;3,1629;4,23;7,86;7,3;10,26;5,52;3,6;38,77;60,87
238;10/09/2023;11:30;SLOVAKIA;4. LIGA - CENTRAL - ROUND 5;Krasno;Lip. Stiavnica;53;21;12;22;2,4437;0,7251;3,1688;4,21;10,28;12,56;7,45;3,05;1,11;38,66;60,07
239;10/09/2023;10:00;BELGIUM;NATIONAL DIVISION 1 - ROUND 3;Tienen;Cappellen;31;23;43;21;1,3644;1,8064;3,1708;4,2;5,73;3,91;10,34;7,58;6,85;38,61;61,12
240;10/09/2023;11:00;SWEDEN;DIVISION 2 - SÖDRA SVEALAND - ROUND 20;Mjolby AI FF;Haninge;36;21;28;22;1,8571;1,3268;3,184;4,14;7,69;7,14;10,21;5,5;3,65;38,33;61,3
241;10/09/2023;16:00;COSTA RICA;LIGA DE ASCENSO - APERTURA - ROUND 10;Ad Aserri;Consultants Desamparados;43;23;26;21;1,9824;1,206;3,1884;4,12;8,17;8,1;9,86;4,97;3,0;38,22;61,28
242;10/09/2023;14:00;SPAIN;LIGA F WOMEN - ROUND 1;Villarreal W;Atl. Madrid W;27;23;42;22;1,1551;2,0415;3,1966;4,09;4,72;2,73;9,64;8,35;8,52;38,05;61,42
243;10/09/2023;10:00;BELGIUM;SECOND AMATEUR DIVISION GROUP ACFF - ROUND 3;Stockay-Warfusee;Jette;23;20;40;21;1,575;1,6274;3,2024;4,07;6,4;5,04;10,42;6,62;5,38;37,93;61,79
244;10/09/2023;13:00;AFRICA;AFRICA CUP OF NATIONS - QUALIFICATION - ROUND 6;Nigeria;Sao Tome and Principe;26;20;18;22;2,1955;1,0091;3,2045;4,06;8,91;9,78;8,99;4,09;2,07;37,9;61,37
245;10/09/2023;19:00;USA;USL LEAGUE ONE;Northern Colorado;Tormenta;43;22;39;22;1,7045;1,5;3,2045;4,06;6,92;5,89;10,37;6,09;4,56;37,89;61,82
246;10/09/2023;16:30;CANADA;U SPORTS;Carleton;Queens;71;23;22;21;2,4244;0,7847;3,2091;4,04;9,79;11,87;7,68;3,17;1,24;37,79;60,93
247;10/09/2023;11:00;SERBIA;SRPSKA LIGA - VOJVODINA - ROUND 5;Tisa Adorjan;Omladinac NB;56;21;26;21;1,9286;1,2857;3,2143;4,02;7,75;7,47;9,96;5,17;3,32;37,69;61,93
248;10/09/2023;21:00;NORTH & CENTRAL AMERICA;CONCACAF NATIONS LEAGUE - LEAGUE A - ROUND 2;Martinique;Curacao;38;20;30;21;1,8071;1,4143;3,2214;3,99;7,21;6,51;10,2;5,64;3,99;37,54;62,11
249;10/09/2023;14:30;QATAR;QSL CUP - ROUND 1;Al-Sadd;Al Rayyan;57;26;35;23;1,9657;1,2993;3,2651;3,82;7,51;7,38;9,76;4,96;3,22;36,65;62,92
