Nº;Date;Time;Country;League;Home;Away;golsHome;totalHome;AvgHome;golsAway;totalAway;AvgAway;avgSum
225;30/07/2023;15:00;SERBIA;SUPER LIGA - ROUND 1;Crvena zvezda;Vojvodina;0;0;0;0;0;0;0
226;30/07/2023;13:00;SLOVAKIA;NIKE LIGA - ROUND 1;Trnava;Trencin;0;0;0;0;0;0;0
227;30/07/2023;13:00;SLOVAKIA;NIKE LIGA - ROUND 1;Zilina;Ruzomberok;0;0;0;0;0;0;0
228;30/07/2023;05:30;SLOVAKIA;2. LIGA - ROUND 1;Malzenice;L. Mikulas;0;0;0;0;0;0;0
229;30/07/2023;18:00;GUATEMALA;LIGA NACIONAL - APERTURA - ROUND 1;Zacapa;Deportivo Mixco;0;0;0;0;0;0;0
230;30/07/2023;08:30;GERMANY;2. BUNDESLIGA - ROUND 1;Hansa Rostock;Nurnberg;0;0;0;0;0;0;0
231;30/07/2023;15:00;HUNGARY;OTP BANK LIGA - ROUND 1;Zalaegerszegi;Kisvarda;0;0;0;0;0;0;0
232;30/07/2023;13:00;SLOVENIA;2. SNL - ROUND 1;Rudar;NK Bistrica;0;0;0;0;0;0;0
233;30/07/2023;14:00;HUNGARY;MERKANTIL BANK LIGA - ROUND 1;Csakvari;Honved;0;0;0;0;0;0;0
234;30/07/2023;13:00;SLOVENIA;2. SNL - ROUND 1;Tolmin;Fuzinar;0;0;0;0;0;0;0
235;30/07/2023;08:30;GERMANY;2. BUNDESLIGA - ROUND 1;Braunschweig;Holstein Kiel;0;0;0;0;0;0;0
236;30/07/2023;12:30;HUNGARY;MERKANTIL BANK LIGA - ROUND 1;BVSC-Zuglo;Haladas;0;0;0;0;0;0;0
237;30/07/2023;12:30;HUNGARY;MERKANTIL BANK LIGA - ROUND 1;Gyirmot;Gyor;0;0;0;0;0;0;0
238;30/07/2023;12:30;HUNGARY;MERKANTIL BANK LIGA - ROUND 1;Nyiregyhaza;Siofok;0;0;0;0;0;0;0
239;30/07/2023;14:00;HUNGARY;MERKANTIL BANK LIGA - ROUND 1;Ajka;Soroksar;0;0;0;0;0;0;0
240;30/07/2023;13:30;BOSNIA AND HERZEGOVINA;PREMIJER LIGA BIH - ROUND 1;FK Sarajevo;Sloga Doboj;0;0;0;0;0;0;0
241;30/07/2023;10:00;BOSNIA AND HERZEGOVINA;PREMIJER LIGA BIH - ROUND 1;GOSK Gabela;Tuzla City;0;0;0;0;0;0;0
242;30/07/2023;08:30;GERMANY;2. BUNDESLIGA - ROUND 1;Greuther Furth;Paderborn;0;0;0;0;0;0;0
