Nº;Date;Time;Country;League;Home;Away;golsHome;jogosHome;golsAway;jogosAway;avgHome;avgAway;avgAvg;0x0;1x0;2x0;1x1;0x1;0x2;U25;O25
206;08/09/2023;11:30;CZECH REPUBLIC;ZLINSKY KP - ROUND 6;Borsice;Hluk;27;21;36;22;1,9838;1,5563;1,77;2,9;5,76;5,71;8,96;4,52;3,51;31,36;68,09
207;08/09/2023;15:30;BELGIUM;SUPER LEAGUE WOMEN - ROUND 3;Femina Woluwe W;Genk W;22;22;79;24;1,125;2,4186;1,7718;2,89;3,25;1,83;7,87;6,99;8,46;31,29;67,47
208;08/09/2023;20:00;MEXICO;LIGA PREMIER SERIE A - ROUND 5;Inter Playa Del Carmen;Canamy;54;22;37;22;2,1591;1,3864;1,7727;2,89;6,23;6,73;8,64;4,0;2,77;31,26;68,01
209;08/09/2023;11:00;ROMANIA;LIGA 3 - SERIA 5 - ROUND 3;Kids Tampa Brasov;Olimpic Zarnesti;40;22;23;17;2,1444;1,4037;1,7741;2,88;6,17;6,62;8,66;4,04;2,84;31,21;68,11
210;08/09/2023;13:00;GERMANY;OBERLIGA HAMBURG - ROUND 7;Rugenbergen;Dassendorf;36;22;47;20;1,3432;2,2205;1,7818;2,83;3,81;2,56;8,45;6,29;6,99;30,93;68,19
211;08/09/2023;13:30;WORLD;FRIENDLY INTERNATIONAL;Wales U21;Liechtenstein U21;20;19;2;22;2,89;0,677;1,7835;2,82;8,16;11,79;5,53;1,91;0,65;30,86;66,28
212;08/09/2023;14:00;AUSTRIA;REGIONALLIGA WEST - ROUND 7;Schwaz;Reichenau;57;24;30;21;2,0685;1,506;1,7872;2,8;5,8;6,0;8,73;4,22;3,18;30,73;68,62
213;08/09/2023;15:00;SWEDEN;DIVISION 2 - SÖDRA SVEALAND - ROUND 20;Farsta;Assyriska FF;49;22;45;22;1,8182;1,7727;1,7955;2,76;5,01;4,56;8,89;4,89;4,33;30,44;69,08
214;08/09/2023;14:30;GERMANY;OBERLIGA BADEN-WÜRTTEMBERG - ROUND 7;Pforzheim;VfR Mannheim;55;22;19;20;2,45;1,1568;1,8034;2,71;6,65;8,14;7,69;3,14;1,82;30,15;68,54
215;08/09/2023;14:30;AUSTRIA;NIEDEROSTERREICH - ROUND 6;Kottingbrunn;Rohrbach;21;16;12;21;2,3229;1,2857;1,8043;2,71;6,29;7,31;8,09;3,48;2,24;30,12;68,87
216;08/09/2023;12:45;AUSTRIA;VORARLBERG - ROUND 5;Lauterach;A. Lustenau;47;22;28;23;2,1769;1,4496;1,8132;2,66;5,79;6,3;8,4;3,86;2,8;29,81;69,38
217;08/09/2023;14:30;NETHERLANDS;EREDIVISIE WOMEN - ROUND 1;Sittard W;PEC Zwolle W;34;16;39;26;2,2548;1,375;1,8149;2,65;5,98;6,74;8,22;3,65;2,51;29,75;69,35
218;08/09/2023;15:30;WALES;CYMRU SOUTH - ROUND 6;Afan Lido;Briton Ferry;51;22;56;22;1,7727;1,8636;1,8182;2,63;4,67;4,14;8,7;4,91;4,58;29,63;69,8
219;08/09/2023;13:30;WORLD;CLUB FRIENDLY;Hertha Zehlendorf;Hertha Berlin;42;21;44;24;2,1042;1,5357;1,8199;2,63;5,52;5,81;8,48;4,03;3,1;29,57;69,7
220;08/09/2023;08:50;ISRAEL;LIGA ALEF NORTH - ROUND 1;Ironi Baka;Hapoel Kafr Kanna;46;21;36;21;2,3571;1,2857;1,8214;2,62;6,17;7,27;7,93;3,37;2,16;29,52;69,39
221;08/09/2023;15:00;ICELAND;DIVISION 2 - ROUND 21;Dalvik/Reynir;Hottur / Huginn;49;21;33;21;2,0952;1,5476;1,8214;2,62;5,48;5,75;8,49;4,05;3,13;29,52;69,8
222;08/09/2023;13:00;FINLAND;KAKKONEN GROUP B;Tampere Utd;Atlantis;30;18;55;21;1,7143;1,9762;1,8452;2,5;4,28;3,67;8,46;4,93;4,87;28,71;70,69
223;08/09/2023;15:30;WALES;CYMRU NORTH - ROUND 6;Prestatyn;Holywell;48;22;71;24;1,5076;2,1837;1,8456;2,49;3,76;2,83;8,21;5,45;5,95;28,69;70,51
224;08/09/2023;16:00;NORTHERN IRELAND;PREMIERSHIP WOMEN - ROUND 15;Crusaders W;Sion Swifts W;48;21;56;23;2,0124;1,6936;1,853;2,46;4,95;4,98;8,38;4,16;3,52;28,45;70,92
225;08/09/2023;11:00;ROMANIA;LIGA 3 - SERIA 8 - ROUND 3;Avantul Periam;Phoenix Buzias;45;24;39;16;1,5312;2,1771;1,8542;2,45;3,75;2,87;8,17;5,34;5,81;28,39;70,8
226;08/09/2023;14:00;AUSTRIA;REGIONALLIGA CENTRAL - ROUND 7;Allerheiligen;Wallern/St Marienkirchen;28;19;21;18;2,098;1,636;1,867;2,39;5,01;5,26;8,2;3,91;3,2;27,97;71,28
227;08/09/2023;11:00;ROMANIA;LIGA 3 - SERIA 7 - ROUND 3;CSM Deva;Ghiroda & Giarmata Vii;59;21;36;21;2,119;1,619;1,869;2,38;5,04;5,34;8,17;3,85;3,12;27,9;71,33
228;08/09/2023;11:00;ROMANIA;LIGA 3 - SERIA 3 - ROUND 3;Inainte Modelu;Afumati;40;21;53;19;1,4261;2,3233;1,8747;2,35;3,36;2,39;7,8;5,47;6,35;27,72;71,23
229;08/09/2023;14:30;AUSTRIA;REGIONALLIGA EAST - ROUND 7;Kremser;TWL Elektra;47;24;51;24;1,8542;1,9167;1,8854;2,3;4,27;3,96;8,19;4,41;4,23;27,36;71,96
230;08/09/2023;11:00;ROMANIA;LIGA 3 - SERIA 8 - ROUND 3;Teuz Cermei;Progresul Pecica;29;22;46;23;1,6156;2,1591;1,8874;2,29;3,71;2,99;8,0;4,95;5,35;27,29;71,88
231;08/09/2023;10:00;WORLD;CLUB FRIENDLY;A. Klagenfurt;Grazer AK;50;21;54;23;1,9079;1,8882;1,898;2,25;4,28;4,09;8,09;4,24;4,0;26,95;72,37
232;08/09/2023;14:00;AUSTRIA;REGIONALLIGA CENTRAL - ROUND 7;Deutschlandsberger;LASK;38;24;60;22;1,4962;2,3011;1,8987;2,24;3,36;2,51;7,72;5,16;5,94;26,93;72,04
233;08/09/2023;14:00;SWEDEN;ELITETTAN WOMEN - ROUND 19;Gamla Upsala W;Bollstanas W;42;20;30;21;2,0738;1,7393;1,9065;2,21;4,58;4,75;7,96;3,84;3,34;26,68;72,57
234;08/09/2023;11:00;ROMANIA;LIGA 3 - SERIA 2 - ROUND 3;CSM Focsani;Vointa Limpezis;50;22;19;15;2,703;1,1106;1,9068;2,21;5,96;8,06;6,62;2,45;1,36;26,66;71,26
235;08/09/2023;19:15;CANADA;U SPORTS;Queens;Carleton;46;21;61;20;1,6202;2,2155;1,9179;2,16;3,5;2,83;7,75;4,78;5,3;26,32;72,73
236;08/09/2023;20:00;USA;MLS NEXT PRO;Philadelphia Union II;Toronto FC II;46;22;35;21;2,0216;1,8333;1,9275;2,12;4,28;4,33;7,85;3,88;3,56;26,02;73,2
237;08/09/2023;15:30;WALES;CYMRU NORTH - ROUND 6;Denbigh;Airbus;43;21;21;23;2,2629;1,5994;1,9312;2,1;4,76;5,38;7,61;3,36;2,69;25,9;73,09
238;08/09/2023;07:00;AUSTRALIA;NPL SOUTH AUSTRALIAN - PLAY OFFS - FINAL;Modbury Jets;Adelaide U21;38;20;40;22;1,8818;1,9841;1,933;2,09;3,94;3,71;7,82;4,16;4,12;25,84;73,4
239;08/09/2023;14:00;GERMANY;OBERLIGA BADEN-WÜRTTEMBERG - ROUND 7;Mutschelbach;Grossaspach;56;21;38;22;2,1288;1,7446;1,9367;2,08;4,43;4,71;7,72;3,63;3,16;25,73;73,43
240;08/09/2023;14:00;GERMANY;OBERLIGA BADEN-WÜRTTEMBERG - ROUND 7;Villingen;FC Holzhausen;45;19;35;22;2,1388;1,7691;1,9539;2,01;4,3;4,59;7,6;3,55;3,14;25,19;73,91
241;08/09/2023;14:30;GERMANY;OBERLIGA HAMBURG - ROUND 7;Suderelbe;TSV Buchholz 08;63;21;22;21;2,6667;1,2619;1,9643;1,97;5,25;6,99;6,62;2,48;1,57;24,88;73,16
242;08/09/2023;14:30;AUSTRIA;REGIONALLIGA EAST - ROUND 7;Drassburg;Favoritner;42;20;41;20;2,2;1,75;1,975;1,93;4,24;4,66;7,41;3,37;2,95;24,56;74,49
243;08/09/2023;12:30;CZECH REPUBLIC;DIVISION A - ROUND 6;Doubravka;Jindrichuv Hradec;54;21;54;21;2,0714;1,881;1,9762;1,92;3,98;4,12;7,48;3,61;3,4;24,51;74,61
244;08/09/2023;13:00;AUSTRIA;WIEN - ROUND 4;Stammersdorf;Wienerberger;41;20;21;17;2,2897;1,6926;1,9912;1,86;4,27;4,89;7,22;3,16;2,67;24,07;74,8
245;08/09/2023;14:00;AUSTRIA;REGIONALLIGA CENTRAL - ROUND 7;ASK Voitsberg;Ried;50;26;32;21;2,033;2,0119;2,0224;1,75;3,56;3,62;7,16;3,52;3,54;23,15;75,89
246;08/09/2023;14:30;AUSTRIA;BURGENLAND - ROUND 6;Parndorf;Deutschkreutz;39;22;31;22;2,4091;1,6364;2,0227;1,75;4,22;5,08;6,9;2,86;2,34;23,15;75,54
247;08/09/2023;12:30;CZECH REPUBLIC;KRALOVEHRADECKY KP - ROUND 6;Jaromer;Dobruska;56;22;29;21;2,6299;1,4177;2,0238;1,75;4,59;6,04;6,51;2,48;1,76;23,13;75,01
248;08/09/2023;08:00;ENGLAND;PROFESSIONAL DEVELOPMENT LEAGUE;Burnley U21;QPR U21;33;18;51;24;1,7917;2,2569;2,0243;1,74;3,13;2,8;7,05;3,94;4,44;23,1;75,8
249;08/09/2023;14:00;GERMANY;OBERLIGA BAYERN NORD - ROUND 11;Gebenbach;Eltersdorf;57;20;48;21;2,0917;1,9679;2,0298;1,73;3,61;3,78;7,1;3,4;3,34;22,96;76,05
250;08/09/2023;13:30;NORWAY;DIVISION 3 - GROUP 3 - ROUND 19;Djerv 1919;Viking 2;59;22;44;21;2,1504;1,934;2,0422;1,68;3,62;3,89;7,0;3,26;3,15;22,6;76,38
251;08/09/2023;11:00;ROMANIA;LIGA 3 - SERIA 10 - ROUND 3;Baile Felix;Sanatatea Cluj;33;20;34;22;2,6205;1,5227;2,0716;1,59;4,16;5,45;6,33;2,42;1,84;21,79;76,33
