Nº;Date;Time;Country;League;Home;Away;o15Home;totalHome;AvgHome;o15Away;totalAway;AvgAway;pHome;pAway;Sum
35;31/05/2023;15:30;EGYPT;PREMIER LEAGUE - ROUND 30;Arab Contractors;El Ismaily;8;15;1,7333;12;15;2,2667;0,5333;0,8;1,3333
36;31/05/2023;15:00;FAROE ISLANDS;1. DEILD - ROUND 11;Streymur 2;B36 Torshavn 2;14;15;3,9333;14;15;4,2;0,9333;0,9333;1,8666
37;31/05/2023;14:30;GERMANY;OBERLIGA NIEDERRHEIN - ROUND 42;TVD Velbert;FSV Duisburg;10;15;3,0667;14;15;4,2667;0,6667;0,9333;1,6
38;31/05/2023;14:30;GERMANY;OBERLIGA PLAY OFFS - ROUND 3;Kilia Kiel;OSC Bremerhaven;13;15;4,0667;12;15;3,4;0,8667;0,8;1,6667
39;31/05/2023;12:00;GUINEA;LIGUE 1 - ROUND 23;Milo FC;Sangaredi;14;15;2,8;9;15;2,4;0,9333;0,6;1,5333
40;31/05/2023;12:00;GUINEA;LIGUE 1 - ROUND 23;Satellite;Kamsar;11;15;2,4667;9;15;2,4667;0,7333;0,6;1,3333
41;31/05/2023;16:15;ICELAND;URVALSDEILD WOMEN - ROUND 6;Selfoss W;Breidablik W;11;15;2,3333;13;15;3,4667;0,7333;0,8667;1,6
42;31/05/2023;16:15;ICELAND;URVALSDEILD WOMEN - ROUND 6;Stjarnan W;Keflavik W;11;15;3,2667;13;15;3,4;0,7333;0,8667;1,6
43;31/05/2023;16:15;ICELAND;URVALSDEILD WOMEN - ROUND 6;Throttur W;Valur W;14;15;3,4;11;15;2,2667;0,9333;0,7333;1,6666
44;31/05/2023;15:45;IRELAND;NATIONAL LEAGUE WOMEN - ROUND 12;Wexford Youths Football Club W;Cork City W;13;15;3,3333;12;15;2,8667;0,8667;0,8;1,6667
45;31/05/2023;15:30;ITALY;SERIE C - PROMOTION - PLAY OFFS - QUARTER-FINALS;Cesena;L.R. Vicenza;10;15;2,6667;12;15;2,6;0,6667;0,8;1,4667
