Nº;Date;Time;Country;League;Home;Away;golsHome;jogosHome;AvgHome;golsAway;jogosAway;AvgAway;avgSum
186;05/08/2023;08:00;SWEDEN;DIVISION 1 - NORRA - ROUND 16;Orebro Syr.;Motala;14;15;0,9333;17;15;1,1333;2,0666
187;05/08/2023;07:00;VIETNAM;V.LEAGUE 1 - RELEGATION GROUP - ROUND 4;Binh Duong;Khanh Hoa;16;16;1,0;17;16;1,0625;2,0625
188;05/08/2023;09:00;KAZAKHSTAN;PREMIER LEAGUE - ROUND 18;Zhetysu Taldykorgan;Kyzylzhar;17;17;1,0;17;16;1,0625;2,0625
189;05/08/2023;13:00;RUSSIA;SUPREME DIVISION WOMEN - ROUND 14;Ryazan W;Dynamo Moscow W;10;13;0,7692;18;14;1,2857;2,0549
190;05/08/2023;19:15;VENEZUELA;LIGA FUTVE - ROUND 22;Portuguesa;Monagas;21;20;1,05;19;19;1,0;2,05
191;05/08/2023;12:10;ARGENTINA;PRIMERA NACIONAL - ROUND 25;Deportivo Madryn;Quilmes;21;24;0,875;28;24;1,1667;2,0417
192;05/08/2023;20:10;ARGENTINA;PRIMERA NACIONAL - ROUND 28;Alvarado;Def. de Belgrano;21;25;0,84;31;26;1,1923;2,0323
193;05/08/2023;11:00;SWEDEN;DIVISION 1 - SÖDRA - ROUND 16;Vanersborgs IF;Norrby;11;15;0,7333;19;15;1,2667;2,0
194;05/08/2023;19:00;CHILE;SEGUNDA DIVISION - ROUND 18;Arturo Fernandez Vial;Real San Joaquin;15;17;0,8824;19;17;1,1176;2,0
195;05/08/2023;12:00;BELARUS;VYSSHAYA LIGA WOMEN - ROUND 21;Minsk FK W;Din. Minsk W;123;19;6,4737;154;18;8,5556;15,0293
196;05/08/2023;18:30;BRAZIL;SERIE A - ROUND 18;Goias;Fortaleza;16;17;0,9412;17;17;1,0;1,9412
197;05/08/2023;15:30;BRAZIL;SERIE B - ROUND 22;Avai;Criciuma;15;20;0,75;25;21;1,1905;1,9405
198;05/08/2023;10:00;SWEDEN;DIVISION 2 - NORRA GÖTALAND - ROUND 15;Nordvarmland;Saffle SK;16;14;1,1429;11;14;0,7857;1,9286
199;05/08/2023;06:30;CHINA;YI LEAGUE - ROUND 14;Hunan Billows;Jiangxi Dark Horse;14;13;1,0769;11;13;0,8462;1,9231
200;05/08/2023;11:00;ESTONIA;MEISTRILIIGA - ROUND 22;Kalju;Narva;22;21;1,0476;17;21;0,8095;1,8571
201;05/08/2023;10:00;FINLAND;KANSALLINEN LIIGA WOMEN;TPS W;ONS Oulu W;15;14;1,0714;11;14;0,7857;1,8571
202;05/08/2023;15:30;ARGENTINA;PRIMERA C - ROUND 30;Real Pilar;Sportivo Italiano;23;27;0,8519;28;28;1,0;1,8519
203;05/08/2023;17:00;BRAZIL;SERIE B - ROUND 22;CRB;Botafogo SP;22;20;1,1;15;20;0,75;1,85
204;05/08/2023;08:35;CHINA;SUPER LEAGUE - ROUND 20;Dalian Pro;Shanghai Shenhua;15;19;0,7895;20;19;1,0526;1,8421
205;05/08/2023;10:00;KAZAKHSTAN;PREMIER LEAGUE - ROUND 18;Kaspij Aktau;Aksu;17;17;1,0;14;17;0,8235;1,8235
206;05/08/2023;13:30;ESTONIA;MEISTRILIIGA - ROUND 22;Tallinna Kalev;Tammeka;22;21;1,0476;16;21;0,7619;1,8095
207;05/08/2023;10:00;BELARUS;VYSSHAYA LIGA - ROUND 16;Belshina;Smorgon;10;14;0,7143;15;14;1,0714;1,7857
208;05/08/2023;15:30;ARGENTINA;PRIMERA C - ROUND 30;Laferrere;Leandro N. Alem;30;28;1,0714;19;27;0,7037;1,7751
209;05/08/2023;23:30;USA;USL LEAGUE ONE;Central Valley Fuego;Chattanooga Red Wolves;13;18;0,7222;20;19;1,0526;1,7748
210;05/08/2023;18:30;BRAZIL;SERIE A - ROUND 18;Internacional;Corinthians;14;17;0,8235;15;16;0,9375;1,761
211;05/08/2023;13:00;FAROE ISLANDS;PREMIER LEAGUE - ROUND 17;Toftir;IF Fuglafjordur;14;16;0,875;14;16;0,875;1,75
212;05/08/2023;15:00;ARGENTINA;PRIMERA NACIONAL - ROUND 28;Almagro;San Telmo;15;26;0,5769;28;25;1,12;1,6969
213;05/08/2023;06:30;CHINA;YI LEAGUE - ROUND 14;Shaoxing Shangyu;Quanzhou Yassin;10;13;0,7692;12;13;0,9231;1,6923
214;05/08/2023;15:30;ARGENTINA;PRIMERA C - ROUND 30;Club Lujan;Berazategui;20;27;0,7407;26;28;0,9286;1,6693
215;05/08/2023;06:00;JAPAN;J3 LEAGUE - ROUND 21;Sagamihara;Kamatamare;19;20;0,95;14;20;0,7;1,65
216;05/08/2023;16:30;CHILE;SEGUNDA DIVISION - ROUND 18;Valdivia;General Velasquez;16;17;0,9412;12;17;0,7059;1,6471
217;05/08/2023;10:00;ZIMBABWE;PREMIER SOCCER LEAGUE - ROUND 18;Platinum;Simba Bhora;16;17;0,9412;12;17;0,7059;1,6471
218;05/08/2023;10:00;ZIMBABWE;PREMIER SOCCER LEAGUE - ROUND 18;ZPC Kariba;Highlanders;13;17;0,7647;15;17;0,8824;1,6471
219;05/08/2023;12:00;BELARUS;VYSSHAYA LIGA - ROUND 16;Slutsk;Energetik-BGU;17;14;1,2143;6;14;0,4286;1,6429
220;05/08/2023;15:30;ARGENTINA;PRIMERA NACIONAL - ROUND 25;Villa Dalmine;Gimnasia Jujuy;15;24;0,625;24;24;1,0;1,625
221;05/08/2023;07:00;VIETNAM;V.LEAGUE 1 - RELEGATION GROUP - ROUND 4;Da Nang;Song Lam Nghe An;8;16;0,5;17;16;1,0625;1,5625
222;05/08/2023;10:00;ZIMBABWE;PREMIER SOCCER LEAGUE - ROUND 18;Chicken Inn;Sheasham;18;17;1,0588;8;17;0,4706;1,5294
223;05/08/2023;10:00;ZIMBABWE;PREMIER SOCCER LEAGUE - ROUND 18;GreenFuel;Yadah;14;17;0,8235;12;17;0,7059;1,5294
224;05/08/2023;16:00;BRAZIL;SERIE C - FIRST STAGE - ROUND 16;Pouso Alegre;Manaus;9;15;0,6;11;15;0,7333;1,3333
225;05/08/2023;09:30;MALAWI;SUPER LEAGUE - ROUND 16;Mighty Tigers;Bangwe All Stars;8;15;0,5333;12;15;0,8;1,3333
226;05/08/2023;12:00;LITHUANIA;A LYGA - ROUND 25;Riteriai;Banga;12;24;0,5;15;24;0,625;1,125
227;05/08/2023;12:00;UZBEKISTAN;SUPER LEAGUE - ROUND 15;Buxoro;Qizilqum;8;14;0,5714;7;14;0,5;1,0714
228;05/08/2023;09:00;ESTONIA;MEISTRILIIGA WOMEN - ROUND 12;Parnu JK Vaprus W;Polva Lootos W;5;12;0,4167;7;11;0,6364;1,0531
229;05/08/2023;10:00;ZIMBABWE;PREMIER SOCCER LEAGUE - ROUND 18;Black Rhinos;Cranborne Bullets;8;17;0,4706;8;17;0,4706;0,9412
230;05/08/2023;08:30;CHINA;JIA LEAGUE - ROUND 17;Shanghai Jiading Huilong;Wuxi Wugou;8;16;0,5;5;16;0,3125;0,8125
