Nº;Date;Time;Country;League;Home;Away;golshtHome;totalHome;AvgHome;golshtAway;totalAway;AvgAway;pHome;pAway;Sum
256;31/05/2023;21:00;USA;USL LEAGUE TWO;Midwest United;Kalamazoo FC;22;28;1,5714;23;29;1,2759;0,7857;0,7931;1,5788
257;31/05/2023;21:00;USA;USL LEAGUE TWO;Texas United;Little Rock Rangers;29;40;1,275;25;30;1,6333;0,725;0,8333;1,5583
258;31/05/2023;21:30;USA;USL LEAGUE TWO;Euro New York;Westchester;23;33;1,1515;32;39;1,7179;0,697;0,8205;1,5175
259;31/05/2023;22:00;USA;USL LEAGUE TWO;Project 51O;Academica SC;13;16;1,375;20;20;2,0;0,8125;1,0;1,8125
260;31/05/2023;23:00;USA;USL LEAGUE TWO;Capo;Ventura;16;16;2,25;28;36;1,4722;1,0;0,7778;1,7778
261;31/05/2023;20:00;USA;NISA;Maryland Bobcats;LA Force;31;43;1,2326;22;41;1,0732;0,7209;0,5366;1,2575
262;31/05/2023;21:00;USA;NWSL CHALLENGE CUP WOMEN;Chicago W;Racing Louisville W;34;43;1,3256;33;43;1,3953;0,7907;0,7674;1,5581
263;31/05/2023;23:00;USA;NWSL CHALLENGE CUP WOMEN;San Diego Wave W;Reign W;29;40;1,35;28;43;1,2326;0,725;0,6512;1,3762
264;31/05/2023;23:30;USA;NWSL CHALLENGE CUP WOMEN;Portland Thorns W;Angel City W;33;43;1,3953;28;41;1,0732;0,7674;0,6829;1,4503
265;31/05/2023;07:00;VIETNAM;V.LEAGUE 1 - ROUND 10;Gia Lai;Hanoi FC;31;43;1,0465;30;43;1,1628;0,7209;0,6977;1,4186
266;31/05/2023;08:00;VIETNAM;V.LEAGUE 1 - ROUND 10;Nam Dinh;Hong Linh Ha Tinh;25;43;0,8605;33;43;1,4884;0,5814;0,7674;1,3488
267;31/05/2023;09:15;VIETNAM;V.LEAGUE 1 - ROUND 10;Ho Chi Minh;Da Nang;28;43;1,186;20;43;0,7674;0,6512;0,4651;1,1163
268;31/05/2023;06:00;VIETNAM;V.LEAGUE 2 - ROUND 6;Phu Tho;PVF-CAND;24;35;0,9143;25;43;0,9535;0,6857;0,5814;1,2671
