Nº;Date;Time;Country;League;Home;Away;o15Home;totalHome;AvgHome;o15Away;totalAway;AvgAway;pHome;pAway;pSum;avgSum
12;08/06/2023;15:00;NETHERLANDS;EREDIVISIE - CONFERENCE LEAGUE - PLAY OFFS - FINAL;Sparta Rotterdam;Twente;13;15;3,4667;13;15;3,4667;0,8667;0,8667;1,7334;6,9334
13;08/06/2023;14:00;SWEDEN;DIVISION 2 - SÖDRA GÖTALAND - ROUND 11;VMA;Hassleholms IF;15;15;4,6;11;15;2,8667;1,0;0,7333;1,7333;7,4667
14;08/06/2023;15:00;PERU;LIGA 2 - ROUND 9;U. San Martin;Alfonso Ugarte;14;15;2,6667;12;15;2,8;0,9333;0,8;1,7333;5,4667
15;08/06/2023;11:00;GERMANY;OBERLIGA HESSEN - RELEGATION;Ederbergland;TUS Dietkirchen;14;15;4,0;12;15;2,8667;0,9333;0,8;1,7333;6,8667
16;08/06/2023;12:00;AUSTRIA;BUNDESLIGA - CONFERENCE LEAGUE - PLAY OFFS - FINAL;A. Lustenau;Austria Vienna;12;15;3,5333;14;15;3,5333;0,8;0,9333;1,7333;7,0666
17;08/06/2023;14:00;SWEDEN;DIVISION 2 - SÖDRA GÖTALAND - ROUND 11;IFK Hassleholm;IFK Trelleborg;14;15;3,5333;12;15;3,7333;0,9333;0,8;1,7333;7,2666
18;08/06/2023;06:15;MYANMAR;NATIONAL LEAGUE - ROUND 8;Ispe FC;Sagaing;13;15;2,9333;12;15;2,9333;0,8667;0,8;1,6667;5,8666
19;08/06/2023;15:30;ITALY;SERIE C - PROMOTION - PLAY OFFS - SEMI-FINALS;Pescara;Foggia;13;15;3,4;12;15;3,1333;0,8667;0,8;1,6667;6,5333
20;08/06/2023;12:30;CZECH REPUBLIC;CFL - GROUP B - ROUND 30;Jablonec B;Zizkov;14;15;3,4667;11;15;2,6;0,9333;0,7333;1,6666;6,0667
21;08/06/2023;20:00;USA;MLS NEXT PRO;Inter Miami II;Cincinnati 2;11;15;3,5333;14;15;4,4;0,7333;0,9333;1,6666;7,9333
22;08/06/2023;18:00;WORLD;WORLD CUP U20 - PLAY OFFS - SEMI-FINALS;Italy U20;South Korea U20;14;15;3,3333;11;15;3,6;0,9333;0,7333;1,6666;6,9333
23;08/06/2023;08:35;CHINA;SUPER LEAGUE - ROUND 12;Changchun Yatai;Shenzhen;11;15;3,4;14;15;3,2667;0,7333;0,9333;1,6666;6,6667
24;08/06/2023;13:00;ESTONIA;ESILIIGA - ROUND 7;Levadia U21;Flora U21;14;15;3,4;11;15;4,0;0,9333;0,7333;1,6666;7,4
25;08/06/2023;15:00;NETHERLANDS;DERDE DIVISIE - RELEGATION - FINAL;AWC;Baronie;3;4;4,25;13;15;3,2;0,75;0,8667;1,6167;7,45
26;08/06/2023;11:00;EGYPT;DIVISION 2 - GROUP A - ROUND 29;El Gouna;Misr Lel Makkasa;10;15;2,4;14;15;3,0;0,6667;0,9333;1,6;5,4
