Nº;Date;Time;Country;League;Home;Away;golsHome;jogosHome;golsAway;jogosAway;avgHome;sdHome;avgAway;sdAway;avgSum;0x0;1x0;2x0;1x1;0x1;0x2;U25
90;24/08/2023;15:00;EUROPE;EUROPA CONFERENCE LEAGUE - QUALIFICATION - FINAL;Lille;Rijeka;53;22;30;21;2,4091;1,4666;1,4286;1,4662;3,8377;2,15;3,08;2,2;7,42;5,19;6,25;26,29
91;24/08/2023;12:00;EUROPE;EUROPA CONFERENCE LEAGUE - QUALIFICATION - FINAL;Struga;Breidablik;35;19;41;20;1,8421;1,3084;2,05;1,5961;3,8921;2,04;4,18;4,29;7,7;3,76;3,46;25,43
92;24/08/2023;14:00;EUROPE;EUROPA CONFERENCE LEAGUE - QUALIFICATION - FINAL;Maccabi Tel Aviv;Celje;40;19;38;21;2,1053;1,4103;1,8095;1,4013;3,9148;1,99;3,61;3,27;7,6;4,2;4,42;25,09
93;24/08/2023;16:00;EUROPE;EUROPA LEAGUE - QUALIFICATION - FINAL;Olympiacos Piraeus;Cukaricki;49;21;40;25;2,3333;1,8083;1,6;1,8111;3,9333;1,96;3,13;2,51;7,31;4,57;5,33;24,81
94;24/08/2023;15:45;EUROPE;EUROPA CONFERENCE LEAGUE - QUALIFICATION - FINAL;FC Ballkani;BATE;37;20;42;20;1,85;1,3519;2,1;2,7368;3,95;1,93;4,04;4,24;7,48;3,56;3,3;24,55
95;24/08/2023;10:00;AFRICA;CAF CONFEDERATION CUP - QUALIFICATION - SEMI-FINALS;Horseed;AS Arta;31;19;49;21;1,6316;1,346;2,3333;2,0079;3,9649;1,9;4,43;5,16;7,22;3,1;2,53;24,34
96;24/08/2023;15:30;EUROPE;EUROPA LEAGUE - QUALIFICATION - FINAL;Royale Union SG;Lugano;51;23;39;21;2,2174;1,2143;1,8571;1,5208;4,0745;1,7;3,16;2,93;7,0;3,77;4,18;22,74
97;24/08/2023;21:06;NORTH & CENTRAL AMERICA;CONCACAF CARIBBEAN CUP - ROUND 1;Defence Force;Cavalier;45;20;46;25;2,25;1,299;1,84;1,0837;4,09;1,67;3,08;2,83;6,93;3,77;4,24;22,52
98;24/08/2023;16:00;EUROPE;EUROPA LEAGUE - QUALIFICATION - FINAL;LASK;Zrinjski;55;24;43;23;2,2917;1,5405;1,8696;1,1536;4,1613;1,56;2,91;2,72;6,68;3,57;4,09;21,53
99;24/08/2023;15:00;EUROPE;EUROPA LEAGUE - QUALIFICATION - FINAL;D. Zagreb;Sparta Prague;43;22;53;24;1,9545;1,3973;2,2083;1,848;4,1628;1,56;3,44;3,79;6,72;3,04;2,97;21,52
