Nº;Date;Time;Country;League;Home;Away;golsHome;totalHome;AvgHome;golsAway;totalAway;AvgAway;avgSum
246;29/07/2023;02:15;AUSTRALIA;NPL QUEENSLAND - ROUND 19;Redlands;Sunshine Coast Wanderers;26;18;1,4444;19;18;1,0556;2,5
247;29/07/2023;16:00;BRAZIL;COPA PAULISTA - ROUND 5;Bragantino;Oeste;6;4;1,5;4;4;1,0;2,5
248;29/07/2023;09:00;RUSSIA;FNL 2 - DIVISION B - GROUP 4 - ROUND 3;Miass;Ural 2;4;2;2,0;1;2;0,5;2,5
249;29/07/2023;11:30;RUSSIA;FNL 2 - DIVISION B - GROUP 1 - ROUND 3;Kholding;SKA Rostov;3;2;1,5;2;2;1,0;2,5
250;29/07/2023;11:00;SCOTLAND;LOWLAND LEAGUE;Broomhill;Caledonian Braves;3;2;1,5;2;2;1,0;2,5
251;29/07/2023;10:00;GERMANY;OBERLIGA BAYERN NORD - ROUND 3;Donaustauf;Hankofen-Hailing;1;2;0,5;4;2;2,0;2,5
252;29/07/2023;12:30;ROMANIA;LIGA 1 - ROUND 3;FC Hermannstadt;UTA Arad;3;2;1,5;2;2;1,0;2,5
253;29/07/2023;18:00;COLOMBIA;PRIMERA A - CLAUSURA - ROUND 3;Deportes Tolima;Aguilas;3;2;1,5;1;1;1,0;2,5
254;29/07/2023;16:00;BOLIVIA;DIVISION PROFESIONAL - ROUND 21;Vaca Diez;Wilstermann;25;18;1,3889;21;19;1,1053;2,4942
255;29/07/2023;20:00;USA;USL LEAGUE ONE;Lexington;Richmond Kickers;23;18;1,2778;23;19;1,2105;2,4883
256;29/07/2023;15:30;ARGENTINA;PRIMERA C - ROUND 29;Puerto Nuevo;San Martin Burzaco;21;26;0,8077;45;27;1,6667;2,4744
257;29/07/2023;21:00;USA;USL CHAMPIONSHIP;Rio Grande;El Paso;22;20;1,1;27;20;1,35;2,45
258;29/07/2023;18:30;BRAZIL;SERIE A - ROUND 17;Fortaleza;Bragantino;17;16;1,0625;22;16;1,375;2,4375
259;29/07/2023;10:00;ZIMBABWE;PREMIER SOCCER LEAGUE - ROUND 17;Manica;Bulawayo Chiefs;17;16;1,0625;22;16;1,375;2,4375
260;29/07/2023;16:00;BRAZIL;SERIE A - ROUND 17;Fluminense;Santos;21;16;1,3125;18;16;1,125;2,4375
261;29/07/2023;19:00;BRAZIL;SERIE C - FIRST STAGE - ROUND 15;Remo;Ypiranga FC;12;14;0,8571;22;14;1,5714;2,4285
262;29/07/2023;11:00;SWEDEN;DIVISION 1 - SÖDRA - ROUND 15;Oddevold;Angelholm;29;14;2,0714;5;14;0,3571;2,4285
263;29/07/2023;13:30;CHILE;PRIMERA B - ROUND 20;D. Puerto Montt;Deportes Iquique;13;19;0,6842;33;19;1,7368;2,421
264;29/07/2023;10:00;KAZAKHSTAN;PREMIER LEAGUE - ROUND 17;Kyzylzhar;FC Astana;16;15;1,0667;23;17;1,3529;2,4196
