Nº;Date;Time;Country;League;Home;Away;golsHome;totalHome;AvgHome;golsAway;totalAway;AvgAway;avgSum
1;29/07/2023;08:00;RUSSIA;FNL 2 - DIVISION B - GROUP 3 - ROUND 2;Kompozit;Ryazan;3;1;3,0;5;1;5,0;8,0
2;29/07/2023;11:00;SCOTLAND;LOWLAND LEAGUE;Tranent;Bo'ness United;8;2;4,0;5;2;2,5;6,5
3;29/07/2023;10:00;MALAYSIA;SUPER LEAGUE - ROUND 18;Johor DT;Selangor;67;17;3,9412;43;18;2,3889;6,3301
4;29/07/2023;10:00;NORWAY;DIVISION 3 - GROUP 6 - ROUND 13;Nordstrand;Follo;38;12;3,1667;37;12;3,0833;6,25
5;29/07/2023;11:00;SCOTLAND;LEAGUE CUP;Ross County;Kelty Hearts;10;3;3,3333;8;3;2,6667;6,0
6;29/07/2023;10:00;RUSSIA;FNL 2 - DIVISION B - GROUP 3 - ROUND 2;Spartak Tambov;Sakhalinets;3;1;3,0;3;1;3,0;6,0
7;29/07/2023;09:00;GERMANY;REGIONALLIGA BAYERN - ROUND 2;Vilzing;SpVgg Bayreuth;5;1;5,0;1;1;1,0;6,0
8;29/07/2023;11:00;SCOTLAND;LOWLAND LEAGUE;Gala Fairydean;Hearts B;2;2;1,0;10;2;5,0;6,0
9;29/07/2023;10:00;NORWAY;DIVISION 3 - GROUP 5 - ROUND 13;Strindheim;Verdal;51;12;4,25;17;12;1,4167;5,6667
10;29/07/2023;15:00;MEXICO;LIGA MX WOMEN - APERTURA - ROUND 3;Cruz Azul W;U.N.A.M.- Pumas W;5;2;2,5;6;2;3,0;5,5
11;29/07/2023;07:00;PHILIPPINES;COPA PAULINO ALCANTARA;Philippine Army;Davao Aguilas;2;1;2,0;7;2;3,5;5,5
12;29/07/2023;10:00;MACAO;ELITE LEAGUE - ROUND 18;Benfica;Sporting Macau;54;15;3,6;23;15;1,5333;5,1333
13;29/07/2023;02:00;AUSTRALIA;NPL ACT - ROUND 16;Canberra Olympic;O'Connor Knights;35;15;2,3333;42;15;2,8;5,1333
14;29/07/2023;04:00;AUSTRALIA;NPL WESTERN AUSTRALIA - ROUND 19;Perth RedStar;Armadale;48;18;2,6667;42;18;2,3333;5,0
15;29/07/2023;09:00;GERMANY;OBERLIGA BAYERN SÜD - ROUND 3;Landsberg;Turkspor Augsburg;8;2;4,0;2;2;1,0;5,0
16;29/07/2023;13:00;CZECH REPUBLIC;FORTUNA:LIGA - ROUND 2;Ostrava;Slovacko;1;1;1,0;4;1;4,0;5,0
17;29/07/2023;11:00;SCOTLAND;LOWLAND LEAGUE;Stirling University;East Kilbride;1;2;0,5;9;2;4,5;5,0
18;29/07/2023;15:30;SWITZERLAND;SUPER LEAGUE - ROUND 2;Servette;Zurich;3;1;3,0;2;1;2,0;5,0
19;29/07/2023;11:00;SCOTLAND;LOWLAND LEAGUE;Celtic B;Cowdenbeath;5;2;2,5;0;0;2,5;5,0
20;29/07/2023;23:30;COSTA RICA;PRIMERA DIVISION - APERTURA - ROUND 2;Herediano;Zeledon;4;1;4,0;1;1;1,0;5,0
21;29/07/2023;17:00;CANADA;CSL;Dynamo Toronto;Toronto Falcons;21;6;3,5;9;6;1,5;5,0
22;29/07/2023;12:00;RUSSIA;FNL 2 - DIVISION A SILVER - FALL SEASON - ROUND 3;Salyut-Belgorod;Kursk;4;2;2,0;6;2;3,0;5,0
23;29/07/2023;13:00;SWITZERLAND;SUPER LEAGUE - ROUND 2;Lugano;St. Gallen;3;1;3,0;2;1;2,0;5,0
24;29/07/2023;10:00;SWEDEN;ALLSVENSKAN - ROUND 17;Hacken;Elfsborg;42;17;2,4706;39;16;2,4375;4,9081
25;29/07/2023;09:00;FINLAND;KANSALLINEN LIIGA WOMEN;KuPS W;TPS W;43;12;3,5833;14;12;1,1667;4,75
26;29/07/2023;10:00;NORWAY;DIVISION 3 - GROUP 4 - ROUND 13;Mandalskameratene;Start 2;23;12;1,9167;33;12;2,75;4,6667
27;29/07/2023;09:00;NORWAY;DIVISION 3 - GROUP 4 - ROUND 13;Pors;Sprint-Jeloy;37;12;3,0833;19;12;1,5833;4,6666
28;29/07/2023;04:45;AUSTRALIA;NPL ACT - ROUND 16;Monaro Panthers;Gungahlin;26;15;1,7333;43;15;2,8667;4,6
29;29/07/2023;08:00;FINLAND;KANSALLINEN LIIGA WOMEN;PK-35 Vantaa W;Aland Utd W;15;12;1,25;40;12;3,3333;4,5833
30;29/07/2023;10:00;FINLAND;KAKKONEN GROUP B;EPS;Jazz Pori;21;12;1,75;36;13;2,7692;4,5192
31;29/07/2023;13:00;GERMANY;OBERLIGA BAYERN SÜD - ROUND 3;Pipinsried;Deisenhofen;6;2;3,0;3;2;1,5;4,5
32;29/07/2023;07:30;PHILIPPINES;COPA PAULINO ALCANTARA;FEU Tamaraws;Inter Manila;2;1;2,0;5;2;2,5;4,5
33;29/07/2023;11:00;SWEDEN;DIVISION 1 - SÖDRA - ROUND 15;Eskilsminne;Trollhattan;26;14;1,8571;35;14;2,5;4,3571
34;29/07/2023;06:30;RUSSIA;SUPREME DIVISION WOMEN - ROUND 15;CSKA Moscow W;Krasnodar W;47;14;3,3571;14;14;1,0;4,3571
35;29/07/2023;08:00;MACAO;ELITE LEAGUE - ROUND 18;Tak Chun Ka I;Cheng Fung;25;15;1,6667;40;15;2,6667;4,3334
36;29/07/2023;11:00;SCOTLAND;LEAGUE CUP;Hamilton;Cove Rangers;5;3;1,6667;8;3;2,6667;4,3334
37;29/07/2023;20:00;PARAGUAY;PRIMERA DIVISION - CLAUSURA - ROUND 4;Ameliano;Libertad Asuncion;4;3;1,3333;9;3;3,0;4,3333
38;29/07/2023;11:00;SCOTLAND;LEAGUE CUP;Livingston;Clyde;9;3;3,0;4;3;1,3333;4,3333
39;29/07/2023;11:00;ICELAND;DIVISION 1 - ROUND 14;Fjolnir;Selfoss;33;13;2,5385;19;12;1,5833;4,1218
40;29/07/2023;05:15;AUSTRALIA;NPL VICTORIA - ROUND 24;Altona Magic;South Melbourne;46;23;2,0;46;22;2,0909;4,0909
41;29/07/2023;06:15;AUSTRALIA;NPL VICTORIA - ROUND 24;Dandenong Thunder;Green Gully;44;23;1,913;50;23;2,1739;4,0869
42;29/07/2023;07:00;LATVIA;1. LIGA - ROUND 13;FK Smiltene;RFS 2;14;12;1,1667;35;12;2,9167;4,0834
43;29/07/2023;23:00;FIJI;PREMIER LEAGUE - ROUND 14;Tavua;Lautoka;15;13;1,1538;38;13;2,9231;4,0769
44;29/07/2023;11:00;LITHUANIA;I LYGA - ROUND 16;Transinvest;Neptunas;39;15;2,6;22;15;1,4667;4,0667
45;29/07/2023;15:15;ICELAND;BESTA DEILD KARLA - ROUND 14;Breidablik;Stjarnan;34;16;2,125;31;16;1,9375;4,0625
46;29/07/2023;04:45;AUSTRALIA;NPL NSW - ROUND 26;APIA Leichhardt;Blacktown City;52;25;2,08;49;25;1,96;4,04
47;29/07/2023;12:30;BULGARIA;VTORA LIGA - ROUND 3;Dobrudzha;Ludogorets II;5;2;2,5;3;2;1,5;4,0
48;29/07/2023;13:00;POLAND;DIVISION 2 - ROUND 2;Ol. Grudziadz;Polonia Bytom;3;1;3,0;1;1;1,0;4,0
49;29/07/2023;10:00;CZECH REPUBLIC;FORTUNA:LIGA - ROUND 2;Sigma Olomouc;Karvina;0;1;0,0;4;1;4,0;4,0
50;29/07/2023;09:00;DENMARK;1ST DIVISION - ROUND 2;Aalborg;Horsens;3;1;3,0;1;1;1,0;4,0
51;29/07/2023;12:30;BULGARIA;VTORA LIGA - ROUND 3;Dunav Ruse;CSKA 1948 Sofia II;4;2;2,0;4;2;2,0;4,0
52;29/07/2023;14:00;RUSSIA;PREMIER LEAGUE - ROUND 2;FK Rostov;Zenit;2;1;2,0;2;1;2,0;4,0
53;29/07/2023;04:00;AUSTRALIA;NPL WESTERN AUSTRALIA - ROUND 19;Perth Glory U21;Inglewood Utd;42;18;2,3333;30;18;1,6667;4,0
54;29/07/2023;09:00;BHUTAN;PREMIER LEAGUE;Thimphu City;Namlha;4;1;4,0;0;1;0,0;4,0
55;29/07/2023;10:30;RUSSIA;FNL 2 - DIVISION B - GROUP 1 - ROUND 3;Spartak Nalchik;Mashuk;2;2;1,0;6;2;3,0;4,0
56;29/07/2023;10:00;FINLAND;KAKKONEN GROUP B;PIF Pargas;Atlantis;14;12;1,1667;34;12;2,8333;4,0
57;29/07/2023;11:00;RUSSIA;FNL 2 - DIVISION B - GROUP 2 - ROUND 2;Znamya Truda;Baltika 2;2;1;2,0;2;1;2,0;4,0
58;29/07/2023;07:00;WORLD;WORLD CUP WOMEN - ROUND 2;France W;Brazil W;0;1;0,0;4;1;4,0;4,0
59;29/07/2023;12:00;RUSSIA;FNL 2 - DIVISION B - GROUP 3 - ROUND 2;Penza;Saturn Ramenskoye;1;1;1,0;3;1;3,0;4,0
60;29/07/2023;11:00;SCOTLAND;LEAGUE CUP;Morton;Edinburgh City;7;3;2,3333;5;3;1,6667;4,0
61;29/07/2023;16:30;VENEZUELA;LIGA FUTVE 2 - CLAUSURA - ROUND 3;Yaracuyanos;El Vigia;3;2;1,5;5;2;2,5;4,0
62;29/07/2023;18:00;PANAMA;LPF - CLAUSURA - ROUND 2;Plaza Amador;Alianza;3;1;3,0;1;1;1,0;4,0
63;29/07/2023;11:00;SWEDEN;DIVISION 2 - VÄSTRA GÖTALAND - ROUND 14;Qviding;Husqvarna;30;13;2,3077;21;13;1,6154;3,9231
64;29/07/2023;11:00;ICELAND;BESTA DEILD WOMEN - ROUND 14;Hafnarfjordur W;Breidablik W;18;12;1,5;29;12;2,4167;3,9167
65;29/07/2023;10:00;NORWAY;DIVISION 2 - GROUP 2 - ROUND 13;Baerum Sportsklubb;Ull/Kisa;24;12;2,0;23;12;1,9167;3,9167
66;29/07/2023;10:00;LATVIA;OPTIBET VIRSLIGA - ROUND 24;RFS;Tukums 2000;58;23;2,5217;32;23;1,3913;3,913
67;29/07/2023;19:00;CANADA;CSL;Serbian W. E.;Hamilton City;20;7;2,8571;7;7;1,0;3,8571
68;29/07/2023;08:00;SWEDEN;DIVISION 2 - SÖDRA SVEALAND - ROUND 14;Nykopings;Ragsved;34;13;2,6154;16;13;1,2308;3,8462
69;29/07/2023;08:00;SWEDEN;DIVISION 2 - NORRLAND - ROUND 14;Skelleftea;Kiruna;33;13;2,5385;17;13;1,3077;3,8462
70;29/07/2023;10:00;NORWAY;DIVISION 3 - GROUP 5 - ROUND 13;Tiller;Tronder-Lyn;19;12;1,5833;27;12;2,25;3,8333
71;29/07/2023;20:00;USA;NWSL CHALLENGE CUP WOMEN;North Carolina Courage W;Orlando Pride W;10;4;2,5;4;3;1,3333;3,8333
72;29/07/2023;19:00;USA;MLS NEXT PRO;Cincinnati 2;Crown Legacy;29;18;1,6111;42;19;2,2105;3,8216
73;29/07/2023;09:00;ESTONIA;MEISTRILIIGA WOMEN - ROUND 11;Saku Sporting W;Parnu JK Vaprus W;37;11;3,3636;5;11;0,4545;3,8181
74;29/07/2023;10:00;SWEDEN;SUPERETTAN - ROUND 16;Oster;Jonkoping;28;15;1,8667;29;15;1,9333;3,8
75;29/07/2023;04:00;AUSTRALIA;NPL WESTERN AUSTRALIA - ROUND 19;Stirling Macedonia;Sorrento;30;17;1,7647;36;18;2,0;3,7647
76;29/07/2023;10:00;NORWAY;DIVISION 3 - GROUP 4 - ROUND 13;Halsen;Askollen;18;12;1,5;27;12;2,25;3,75
77;29/07/2023;02:00;AUSTRALIA;NPL ACT - ROUND 16;Tigers FC;West Canberra Wanderers;45;15;3,0;11;15;0,7333;3,7333
78;29/07/2023;09:00;SWEDEN;DIVISION 2 - SÖDRA GÖTALAND - ROUND 14;Simrishamn;IFK Hassleholm;24;13;1,8462;24;13;1,8462;3,6924
79;29/07/2023;13:00;ICELAND;DIVISION 2 - ROUND 14;Dalvik/Reynir;Haukar;27;13;2,0769;21;13;1,6154;3,6923
80;29/07/2023;11:00;SCOTLAND;LEAGUE CUP;St. Mirren;Forfar Athletic;5;3;1,6667;6;3;2,0;3,6667
81;29/07/2023;04:00;AUSTRALIA;NPL WESTERN AUSTRALIA - ROUND 19;Bayswater;Balcatta;36;18;2,0;29;18;1,6111;3,6111
