Nº;Date;Time;Country;League;Home;Away;golshtHome;totalHome;golshtAway;totalAway;pHome;pAway;Sum
97;17/05/2023;13:00;FINLAND;SUOMEN CUP - 1/32-FINALS;Kyparamaki;Lahti;1;1;34;43;1,0;0,7907;1,7907
98;17/05/2023;13:00;FINLAND;SUOMEN CUP - 1/32-FINALS;NuPS;JaPS;1;1;34;43;1,0;0,7907;1,7907
99;17/05/2023;13:00;FINLAND;SUOMEN CUP - 1/32-FINALS;OLS Oulu;OTP;31;43;34;43;0,7209;0,7907;1,5116
100;17/05/2023;13:00;FINLAND;SUOMEN CUP - 1/32-FINALS;VIFK;Rovaniemi;31;43;35;43;0,7209;0,814;1,5349
101;17/05/2023;13:15;FINLAND;SUOMEN CUP - 1/32-FINALS;HooGee;Ponnistajat;1;1;35;43;1,0;0,814;1,814
102;17/05/2023;14:00;FINLAND;SUOMEN CUP - 1/32-FINALS;TuPS;KaPa;1;1;35;43;1,0;0,814;1,814
103;17/05/2023;06:00;GERMANY;JUNIOREN BUNDESLIGA PLAY OFFS - LOSERS STAGE - ROUND 2;Karlsruher SC U19;St. Pauli U19;34;43;36;43;0,7907;0,8372;1,6279
104;17/05/2023;11:00;GERMANY;JUNIOREN BUNDESLIGA PLAY OFFS - WINNERS STAGE - ROUND 5;Bayern U19;Leverkusen U19;35;43;36;43;0,814;0,8372;1,6512
105;17/05/2023;11:00;GREECE;GAMMA ETHNIKI - PROMOTION PLAY-OFFS - ROUND 2;Aiolikos;Tilikratis L.;35;43;36;43;0,814;0,8372;1,6512
106;17/05/2023;11:00;GREECE;GAMMA ETHNIKI - PROMOTION PLAY-OFFS - ROUND 2;Kozani FC;Kampaniakos;35;43;36;43;0,814;0,8372;1,6512
107;17/05/2023;14:00;GUATEMALA;LIGA NACIONAL - CLAUSURA - PLAY OFFS - SEMI-FINALS;Guastatoya;Xelaju;25;43;36;43;0,5814;0,8372;1,4186
108;17/05/2023;16:15;ICELAND;ICELANDIC CUP - 1/8-FINALS;Hafnarfjordur;Njardvik;32;43;36;43;0,7442;0,8372;1,5814
109;17/05/2023;10:30;IRAQ;SUPER LEAGUE - ROUND 29;Al-Qassim;Karbala;34;43;36;43;0,7907;0,8372;1,6279
110;17/05/2023;10:30;IRAQ;SUPER LEAGUE - ROUND 29;Newroz;Naft Missan;34;43;36;43;0,7907;0,8372;1,6279
111;17/05/2023;15:30;IRAQ;SUPER LEAGUE - ROUND 29;Al Najaf;Al Kahraba;29;43;29;43;0,6744;0,6744;1,3488
112;17/05/2023;13:40;ISRAEL;LEUMIT LEAGUE - RELEGATION - FINAL;Nof Hagalil;Hapoel Kfar Shalem;29;43;32;43;0,6744;0,7442;1,4186
113;17/05/2023;10:00;ITALY;SERIE D - WINNERS STAGE;Giana Erminio;ASD Pineto Calcio;30;43;24;43;0,6977;0,5581;1,2558
114;17/05/2023;11:00;ITALY;SERIE D - WINNERS STAGE;Brindisi;Catania;31;43;30;43;0,7209;0,6977;1,4186
115;17/05/2023;11:00;ITALY;SERIE D - WINNERS STAGE;Legnago Salus;Lumezzane;28;43;30;43;0,6512;0,6977;1,3489
116;17/05/2023;07:00;ITALY;PRIMAVERA 1 - ROUND 32;AS Roma U19;Cagliari U19;34;43;35;43;0,7907;0,814;1,6047
117;17/05/2023;09:00;ITALY;PRIMAVERA 1 - ROUND 32;Atalanta U19;Bologna U19;33;43;38;43;0,7674;0,8837;1,6511
118;17/05/2023;09:00;ITALY;PRIMAVERA 1 - ROUND 32;Frosinone U19;Juventus U19;33;43;38;43;0,7674;0,8837;1,6511
119;17/05/2023;11:00;ITALY;PRIMAVERA 1 - ROUND 32;Napoli U19;Fiorentina U19;31;43;38;43;0,7209;0,8837;1,6046
120;17/05/2023;11:00;ITALY;PRIMAVERA 1 - ROUND 32;Verona U19;AC Milan U19;30;43;29;43;0,6977;0,6744;1,3721
121;17/05/2023;13:00;ITALY;PRIMAVERA 1 - ROUND 32;Inter U19;Sampdoria U19;33;43;33;43;0,7674;0,7674;1,5348
122;17/05/2023;01:30;JAPAN;J2 LEAGUE - ROUND 16;Montedio Yamagata;Oita Trinita;34;43;34;43;0,7907;0,7907;1,5814
123;17/05/2023;07:00;JAPAN;J2 LEAGUE - ROUND 16;Blaublitz;Kofu;23;43;32;43;0,5349;0,7442;1,2791
124;17/05/2023;07:00;JAPAN;J2 LEAGUE - ROUND 16;Chiba;Shimizu S-Pulse;25;43;33;43;0,5814;0,7674;1,3488
125;17/05/2023;07:00;JAPAN;J2 LEAGUE - ROUND 16;Fujieda MYFC;Iwata;33;43;29;43;0,7674;0,6744;1,4418
126;17/05/2023;07:00;JAPAN;J2 LEAGUE - ROUND 16;Iwaki;Omiya Ardija;26;43;27;43;0,6047;0,6279;1,2326
127;17/05/2023;07:00;JAPAN;J2 LEAGUE - ROUND 16;Kumamoto;Vegalta Sendai;34;43;26;43;0,7907;0,6047;1,3954
128;17/05/2023;07:00;JAPAN;J2 LEAGUE - ROUND 16;Kusatsu;Mito;29;43;25;43;0,6744;0,5814;1,2558
129;17/05/2023;07:00;JAPAN;J2 LEAGUE - ROUND 16;Machida;Renofa Yamaguchi;35;43;30;43;0,814;0,6977;1,5117
130;17/05/2023;07:00;JAPAN;J2 LEAGUE - ROUND 16;Tochigi SC;Verdy;22;43;23;43;0,5116;0,5349;1,0465
131;17/05/2023;07:00;JAPAN;J2 LEAGUE - ROUND 16;Tokushima;Kanazawa;24;43;37;43;0,5581;0,8605;1,4186
132;17/05/2023;07:00;JAPAN;J2 LEAGUE - ROUND 16;V-Varen Nagasaki;Okayama;32;43;27;43;0,7442;0,6279;1,3721
133;17/05/2023;12:00;JORDAN;SHIELD CUP - ROUND 2;Al Jalil;Al Ahli;32;43;27;43;0,7442;0,6279;1,3721
134;17/05/2023;15:30;JORDAN;SHIELD CUP - ROUND 2;Al Ramtha;Shabab Al Ordon;31;43;31;43;0,7209;0,7209;1,4418
135;17/05/2023;08:30;KYRGYZSTAN;PREMIER LIGA - ROUND 9;Muras United;Alay Osh;6;8;31;43;0,75;0,7209;1,4709
136;17/05/2023;11:00;LATVIA;OPTIBET VIRSLIGA - ROUND 13;Tukums 2000;Valmiera;6;8;31;43;0,75;0,7209;1,4709
137;17/05/2023;12:00;LATVIA;OPTIBET VIRSLIGA - ROUND 13;FK Liepaja;RFS;6;8;31;43;0,75;0,7209;1,4709
138;17/05/2023;14:00;LIECHTENSTEIN;LIECHTENSTEIN CUP - FINAL;Balzers;Vaduz;35;43;26;43;0,814;0,6047;1,4187
139;17/05/2023;13:15;MALI;PREMIERE DIVISION - ROUND 17;Black Stars;Onze Createurs;35;43;26;43;0,814;0,6047;1,4187
140;17/05/2023;13:15;MALI;PREMIERE DIVISION - ROUND 17;Korofina;Stade Malien;35;43;26;43;0,814;0,6047;1,4187
141;17/05/2023;22:00;MEXICO;LIGA DE EXPANSION MX - CLAUSURA - PLAY OFFS - FINAL;Atl. Morelia;Tapatio;25;43;30;43;0,5814;0,6977;1,2791
142;17/05/2023;02:00;MONGOLIA;PREMIER LEAGUE - ROUND 21;Ulaanbaatar City;BCH Lions;25;43;30;43;0,5814;0,6977;1,2791
143;17/05/2023;05:00;MONGOLIA;PREMIER LEAGUE - ROUND 21;Khoromkhon;Khaan Khuns-Erchim;31;40;32;43;0,775;0,7442;1,5192
