Nº;Date;Time;Country;League;Home;Away;golsHome;jogosHome;golsAway;jogosAway;avgHome;sdHome;avgAway;sdAway;avgSum;0x0;1x0;2x0;1x1;0x1;0x2;U25
237;27/08/2023;15:30;SPAIN;PRIMERA RFEF - GROUP 1 - ROUND 1;R. Sociedad B;Tarazona;29;22;26;21;1,3182;1,0174;1,2381;1,0648;2,5563;7,76;10,23;6,74;12,67;9,61;5,95;52,96
238;27/08/2023;10:30;GERMANY;OBERLIGA WESTFALEN - ROUND 3;Ennepetal;Westfalia Rhynern;22;19;28;20;1,1579;0,8744;1,4;1,4629;2,5579;7,75;8,97;5,19;12,55;10,84;7,59;52,89
239;27/08/2023;10:00;GEORGIA;CRYSTALBET EROVNULI LIGA 2 - ROUND 24;Khobi;Bolnisi;26;19;25;21;1,3684;0,9297;1,1905;1,0057;2,5589;7,74;10,59;7,25;12,61;9,21;5,48;52,88
240;27/08/2023;18:30;CHILE;PRIMERA B - ROUND 24;S. Wanderers;U. De Concepcion;30;22;24;20;1,3636;0,9791;1,2;1,0296;2,5636;7,7;10,5;7,16;12,6;9,24;5,55;52,75
241;27/08/2023;12:00;SPAIN;LALIGA2 - ROUND 3;Ferrol;Gijon;33;19;20;24;1,7368;1,0178;0,8333;1,0672;2,5701;7,65;13,29;11,54;11,08;6,38;2,66;52,6
242;27/08/2023;17:00;VENEZUELA;LIGA FUTVE 2 - CLAUSURA - ROUND 8;Bolivar;Academia Anzoategui;27;21;27;21;1,2857;1,0302;1,2857;1,5474;2,5714;7,65;9,83;6,32;12,63;9,83;6,32;52,58
243;27/08/2023;05:00;CHINA;SUPER LEAGUE WOMEN - ROUND 14;Changchun Dazhong W;Jiangsu Suning W;32;21;22;21;1,5238;1,3669;1,0476;0,7222;2,5714;7,64;11,65;8,88;12,2;8,01;4,19;52,57
244;27/08/2023;09:00;GERMANY;OBERLIGA HAMBURG - ROUND 5;Halstenbek-Rellingen;Paloma;28;21;26;21;1,3333;0,992;1,2381;0,9209;2,5714;7,64;10,19;6,79;12,62;9,46;5,86;52,56
245;27/08/2023;17:00;VENEZUELA;LIGA FUTVE 2 - CLAUSURA - ROUND 8;Urena;El Vigia;43;23;15;21;1,8696;1,6499;0,7143;0,6999;2,5839;7,55;14,11;13,19;10,08;5,39;1,93;52,25
246;27/08/2023;07:00;VIETNAM;V.LEAGUE 1 - CHAMPIONSHIP GROUP - ROUND 7;Hanoi FC;Viettel;41;22;13;18;1,8636;1,4553;0,7222;0,8032;2,5858;7,53;14,04;13,08;10,14;5,44;1,97;52,2
247;27/08/2023;07:00;SWEDEN;DIVISION 2 - NORRLAND - ROUND 18;Storfors AIK;Froso IF;36;22;20;21;1,6364;1,9199;0,9524;0,7854;2,5888;7,51;12,29;10,06;11,71;7,15;3,41;52,13
248;27/08/2023;18:00;HONDURAS;LIGA NACIONAL - APERTURA - ROUND 5;Marathon;Victoria;34;22;22;21;1,5455;1,1957;1,0476;1,1329;2,5931;7,48;11,56;8,93;12,11;7,84;4,1;52,02
249;27/08/2023;17:30;USA;MLS;Minnesota United;Seattle Sounders;24;18;24;19;1,3333;1,1055;1,2632;1,2499;2,5965;7,45;9,94;6,63;12,56;9,42;5,95;51,95
250;27/08/2023;12:00;POLAND;III LIGA - GROUP II - ROUND 5;Swinoujscie;Vineta W.;26;21;30;22;1,2381;1,1914;1,3636;1,3667;2,6017;7,41;9,18;5,68;12,52;10,11;6,89;51,79
251;27/08/2023;13:00;PORTUGAL;CAMPEONATO DE PORTUGAL - GROUP C - ROUND 2;SB Castelo Branco;Santarem;37;21;16;19;1,7619;1,9;0,8421;0,9326;2,604;7,4;13,03;11,48;10,97;6,23;2,62;51,73
252;27/08/2023;18:30;GUATEMALA;LIGA NACIONAL - APERTURA - ROUND 5;Guastatoya;Antigua;34;21;21;21;1,619;1,2527;1,0;0,7559;2,619;7,29;11,8;9,55;11,8;7,29;3,64;51,37
253;27/08/2023;15:30;URUGUAY;PRIMERA DIVISION - CLAUSURA - ROUND 2;Penarol;La Luz;30;23;29;22;1,3043;0,8041;1,3182;1,6892;2,6225;7,26;9,47;6,18;12,49;9,57;6,31;51,28
254;27/08/2023;17:30;PERU;LIGA 1 - CLAUSURA - ROUND 11;FBC Melgar;Sport Huancayo;38;22;18;20;1,7273;1,4827;0,9;0,995;2,6273;7,23;12,49;10,78;11,24;6,51;2,93;51,18
255;27/08/2023;14:30;BOSNIA AND HERZEGOVINA;PREMIJER LIGA BIH - ROUND 5;Siroki Brijeg;GOSK Gabela;25;20;29;21;1,25;0,8292;1,381;0,95;2,631;7,2;9,0;5,62;12,43;9,94;6,87;51,06
256;27/08/2023;09:15;SWITZERLAND;CHALLENGE LEAGUE - ROUND 5;Vaduz;Xamax;20;18;35;23;1,1111;0,9938;1,5217;1,6647;2,6328;7,19;7,99;4,44;12,15;10,94;8,32;51,03
257;27/08/2023;14:30;HUNGARY;OTP BANK LIGA - ROUND 5;MOL Fehervar;Mezokovesd-Zsory;33;23;24;20;1,4348;1,0965;1,2;1,0296;2,6348;7,17;10,29;7,38;12,35;8,61;5,17;50,97
258;27/08/2023;11:00;GREECE;GREEK CUP - 1/256-FINALS;Panagriniakos;Pamisos;46;22;12;22;2,0909;1,4743;0,5455;0,7216;2,6364;7,16;14,98;15,65;8,17;3,91;1,07;50,94
259;27/08/2023;10:00;SWEDEN;DIVISION 2 - SÖDRA GÖTALAND - ROUND 18;Osterlen FF;Karlskrona;28;22;30;22;1,2727;1,1748;1,3636;1,1499;2,6363;7,16;9,11;5,8;12,43;9,77;6,66;50,93
260;27/08/2023;10:00;ENGLAND;WOMEN’S CHAMPIONSHIP - ROUND 1;Crystal Palace W;Reading W;30;21;29;24;1,4286;1,3653;1,2083;1,1539;2,6369;7,16;10,23;7,3;12,36;8,65;5,23;50,93
261;27/08/2023;12:00;ALBANIA;SUPERLIGA - ROUND 1;Laci;Erzeni;30;20;24;21;1,5;1,5;1,1429;0,9897;2,6429;7,11;10,67;8,0;12,2;8,13;4,65;50,76
262;27/08/2023;05:15;CZECH REPUBLIC;CFL - GROUP B - ROUND 4;Pardubice B;Hradec Kralove B;35;22;20;19;1,5909;1,5273;1,0526;1,2343;2,6435;7,11;11,31;9,0;11,91;7,48;3,94;50,75
263;27/08/2023;12:30;TUNISIA;LIGUE PROFESSIONNELLE 1 - ROUND 2;Bizertin;Monastir;32;22;25;21;1,4545;1,0325;1,1905;1,3316;2,645;7,1;10,33;7,51;12,29;8,45;5,03;50,71
264;27/08/2023;10:00;KAZAKHSTAN;PREMIER LEAGUE - ROUND 21;Atyrau;Aktobe;20;17;28;19;1,1765;1,0424;1,4737;1,0447;2,6502;7,07;8,31;4,89;12,25;10,41;7,67;50,6
265;27/08/2023;11:00;TURKEY;2. LIG RED GROUP - ROUND 1;Usakspor;Duzcespor;28;21;29;22;1,3333;0,992;1,3182;0,8732;2,6515;7,05;9,41;6,27;12,4;9,3;6,13;50,56
266;27/08/2023;14:00;CYPRUS;CYTA CHAMPIONSHIP - ROUND 2;Nea Salamis;Apollon;37;23;22;21;1,6087;1,3101;1,0476;0,8438;2,6563;7,02;11,3;9,09;11,83;7,35;3,85;50,44
267;27/08/2023;10:00;ZAMBIA;SUPER LEAGUE - ROUND 2;ZESCO;Prison Leopards;32;21;24;21;1,5238;1,0963;1,1429;0,7095;2,6667;6,95;10,59;8,07;12,1;7,94;4,54;50,19
268;27/08/2023;15:30;ARGENTINA;PRIMERA NACIONAL - ROUND 27;Deportivo Maipu;Quilmes;37;21;19;21;1,7619;1,0191;0,9048;0,9712;2,6667;6,95;12,24;10,78;11,07;6,29;2,84;50,17
269;27/08/2023;14:00;AFRICA;CAF CHAMPIONS LEAGUE - QUALIFICATION - SEMI-FINALS;Generation F.;Hafia;34;21;21;20;1,619;1,3619;1,05;1,0712;2,669;6,93;11,22;9,08;11,78;7,28;3,82;50,11
270;27/08/2023;14:00;HUNGARY;MERKANTIL BANK LIGA - ROUND 6;Pecsi MFC;Gyirmot;23;22;39;24;1,0455;1,2239;1,625;1,8442;2,6705;6,92;7,24;3,78;11,76;11,25;9,14;50,09
271;27/08/2023;20:10;COLOMBIA;PRIMERA A - CLAUSURA - ROUND 8;America De Cali;Santa Fe;33;21;22;20;1,5714;1,3653;1,1;0,8307;2,6714;6,91;10,87;8,54;11,96;7,61;4,18;50,07
272;27/08/2023;15:00;WORLD;CLUB FRIENDLY;Lorca Deportiva;Mar Menor;36;21;24;25;1,7143;1,5164;0,96;0,8237;2,6743;6,9;11,82;10,13;11,35;6,62;3,18;50,0
273;27/08/2023;08:00;GERMANY;OBERLIGA BREMEN - ROUND 3;Hemelingen;Leher;98;23;40;21;4,2609;3,0817;1,9048;1,1914;6,1657;0,21;0,89;1,91;1,7;0,4;0,38;5,49
274;27/08/2023;12:10;SCOTLAND;SWPL 1 WOMEN - ROUND 4;Rangers W;Glasgow City W;59;20;66;20;2,95;1,9615;3,3;2,5318;6,25;0,19;0,57;0,84;1,88;0,64;1,05;5,17
275;27/08/2023;12:00;BOSNIA AND HERZEGOVINA;PRVA LIGA - FBIH - ROUND 3;Stupcanica;Bratstvo Gracanica;27;17;25;23;1,5882;0,9737;1,087;0,9741;2,6752;6,89;10,94;8,69;11,9;7,49;4,07;49,98
276;27/08/2023;13:30;ITALY;SERIE A - ROUND 2;Fiorentina;Lecce;39;22;19;21;1,7727;1,5647;0,9048;0,9209;2,6775;6,87;12,18;10,8;11,02;6,22;2,81;49,9
277;27/08/2023;18:30;EL SALVADOR;PRIMERA DIVISION - APERTURA - ROUND 4;Jocoro;Dragon;38;22;20;21;1,7273;1,2129;0,9524;0,8438;2,6797;6,86;11,85;10,23;11,28;6,53;3,11;49,86
278;27/08/2023;10:00;FRANCE;LIGUE 1 - ROUND 3;Clermont;Metz;24;22;35;22;1,0909;0,7925;1,5909;1,2306;2,6818;6,84;7,46;4,07;11,88;10,89;8,66;49,8
279;27/08/2023;14:00;WORLD;CLUB FRIENDLY;El Palo;Ciudad de Lucena;32;19;22;22;1,6842;1,2588;1,0;0,8528;2,6842;6,83;11,5;9,68;11,5;6,83;3,41;49,75
280;27/08/2023;13:00;PORTUGAL;CAMPEONATO DE PORTUGAL - GROUP D - ROUND 2;Vasco da Gama;Sintrense;34;22;24;21;1,5455;1,2695;1,1429;0,7095;2,6884;6,8;10,51;8,12;12,01;7,77;4,44;49,65
281;27/08/2023;11:00;TURKEY;2. LIG RED GROUP - ROUND 1;Belediye Derince;Sariyer;40;23;21;22;1,7391;1,799;0,9545;0,7056;2,6936;6,76;11,76;10,23;11,23;6,46;3,08;49,52
282;27/08/2023;11:00;TURKEY;2. LIG WHITE GROUP - ROUND 1;Kirklarelispor;Trabzon FK;30;22;28;21;1,3636;1,4316;1,3333;0,992;2,6969;6,74;9,19;6,27;12,26;8,99;5,99;49,44
283;27/08/2023;07:00;VIETNAM;V.LEAGUE 1 - CHAMPIONSHIP GROUP - ROUND 7;Hai Phong;Binh Dinh;29;17;19;19;1,7059;1,2725;1,0;0,9733;2,7059;6,68;11,4;9,72;11,4;6,68;3,34;49,22
284;27/08/2023;10:30;GERMANY;OBERLIGA WESTFALEN - ROUND 3;Schermbeck 2020;Clarholz;33;21;25;22;1,5714;1,2178;1,1364;1,2171;2,7078;6,67;10,48;8,23;11,91;7,58;4,3;49,17
285;27/08/2023;16:30;VENEZUELA;LIGA FUTVE - ROUND 25;Rayo Zuliano;Estudiantes Merida;26;20;31;22;1,3;1,382;1,4091;1,4972;2,7091;6,66;8,66;5,63;12,2;9,38;6,61;49,14
286;27/08/2023;11:30;GERMANY;3. LIGA - ROUND 4;Mannheim;Hallescher;34;21;24;22;1,619;1,1329;1,0909;1,276;2,7099;6,65;10,77;8,72;11,75;7,26;3,96;49,11
287;27/08/2023;13:45;AZERBAIJAN;PREMIER LEAGUE - ROUND 4;Qarabag;Kapaz;37;20;19;22;1,85;1,1079;0,8636;0,7565;2,7136;6,63;12,26;11,35;10,59;5,72;2,47;49,02
288;27/08/2023;12:00;ARMENIA;PREMIER LEAGUE - ROUND 5;Ararat-Armenia;Van;38;21;20;22;1,8095;1,6218;0,9091;1,0405;2,7186;6,6;11,94;10,8;10,85;6,0;2,73;48,92
289;27/08/2023;14:00;PORTUGAL;LIGA 3 - ROUND 4;Sanjoanense;AD Fafe;34;21;22;20;1,619;1,1742;1,1;1,3379;2,719;6,59;10,68;8,64;11,74;7,25;3,99;48,89
290;27/08/2023;13:00;PORTUGAL;CAMPEONATO DE PORTUGAL - GROUP B - ROUND 2;Amarante;Paredes;37;20;20;23;1,85;1,3519;0,8696;0,9466;2,7196;6,59;12,19;11,28;10,6;5,73;2,49;48,88
291;27/08/2023;15:30;SPAIN;PRIMERA RFEF - GROUP 2 - ROUND 1;San Fernando;Ceuta;33;21;23;20;1,5714;1,2563;1,15;0,9631;2,7214;6,58;10,34;8,12;11,89;7,56;4,35;48,84
292;27/08/2023;10:00;SWEDEN;DIVISION 1 - NORRA - ROUND 19;Pitea;Hammarby TFF;30;22;30;22;1,3636;1,333;1,3636;1,1888;2,7272;6,54;8,92;6,08;12,16;8,92;6,08;48,7
293;27/08/2023;11:00;SWEDEN;DIVISION 2 - NORRA GÖTALAND - ROUND 18;Vanersborgs FK;Torslanda;29;21;31;23;1,381;1,1329;1,3478;1,3387;2,7288;6,53;9,02;6,23;12,16;8,8;5,93;48,67
294;27/08/2023;11:00;ENGLAND;WOMEN’S CHAMPIONSHIP - ROUND 1;Charlton W;Sheffield Utd W;31;23;29;21;1,3478;1,0471;1,381;1,2527;2,7288;6,53;8,8;5,93;12,16;9,02;6,23;48,67
295;27/08/2023;11:00;TURKEY;SUPER LIG WOMEN - ROUND 1;Adana Idmanyurduspor W;Hakkarigucu Spor W;28;20;28;21;1,4;2,2891;1,3333;1,5223;2,7333;6,5;9,1;6,37;12,13;8,67;5,78;48,55
296;27/08/2023;10:00;TURKEY;2. LIG RED GROUP - ROUND 1;Karaman;Menemenspor;29;20;27;21;1,45;1,1169;1,2857;2,0034;2,7357;6,49;9,4;6,82;12,09;8,34;5,36;48,5
297;27/08/2023;08:00;THAILAND;THAI LEAGUE 2 - ROUND 3;Nakhon Si;Samut Prakan City;33;19;20;20;1,7368;1,4452;1,0;0,7071;2,7368;6,48;11,25;9,77;11,25;6,48;3,24;48,47
298;27/08/2023;16:00;COSTA RICA;LIGA DE ASCENSO - APERTURA - ROUND 7;Quepos Cambute;Puerto Golfito FC;43;22;18;23;1,9545;1,6916;0,7826;0,9305;2,7371;6,47;12,66;12,37;9,9;5,07;1,98;48,45
299;27/08/2023;09:00;CZECH REPUBLIC;VYSOCINA KP - ROUND 4;Velke Mezirici B;Vrchovina B;26;21;33;22;1,2381;1,0648;1,5;1,2703;2,7381;6,47;8,01;4,96;12,02;9,7;7,28;48,44
300;27/08/2023;07:00;VIETNAM;V.LEAGUE 1 - CHAMPIONSHIP GROUP - ROUND 7;Cong An;Thanh Hoa;37;20;16;18;1,85;1,558;0,8889;0,8749;2,7389;6,46;11,96;11,06;10,63;5,74;2,55;48,4
301;27/08/2023;21:05;MEXICO;LIGA MX - APERTURA - ROUND 6;U.N.A.M.- Pumas;U.A.N.L.- Tigres;31;22;24;18;1,4091;1,267;1,3333;0,8819;2,7424;6,44;9,08;6,39;12,1;8,59;5,73;48,33
302;27/08/2023;14:00;PORTUGAL;LIGA 3 - ROUND 4;1º Dezembro;Covilha;34;20;22;21;1,7;1,1874;1,0476;1,2141;2,7476;6,41;10,9;9,26;11,41;6,71;3,52;48,21
303;27/08/2023;00:05;MEXICO;LIGA MX - APERTURA - ROUND 6;Santos Laguna;Guadalajara Chivas;32;20;23;20;1,6;1,2806;1,15;0,9631;2,75;6,39;10,23;8,18;11,76;7,35;4,23;48,14
304;27/08/2023;12:00;CZECH REPUBLIC;JIHOMORAVSKY KP - ROUND 4;Rajecko;Moravska Slavia;37;23;24;21;1,6087;1,4667;1,1429;0,7095;2,7516;6,38;10,27;8,26;11,74;7,29;4,17;48,11
305;27/08/2023;10:00;GEORGIA;CRYSTALBET EROVNULI LIGA - ROUND 23;Samgurali;Torpedo Kutaisi;38;25;26;21;1,52;1,2368;1,2381;1,2307;2,7581;6,34;9,64;7,33;11,93;7,85;4,86;47,95
306;27/08/2023;13:30;CHILE;PRIMERA B - ROUND 24;Antofagasta;Barnechea;36;21;23;22;1,7143;1,4846;1,0455;0,8245;2,7598;6,33;10,85;9,3;11,34;6,62;3,46;47,9
307;27/08/2023;06:00;GERMANY;2. BUNDESLIGA WOMEN - ROUND 2;B. Monchengladbach W;Ingolstadt W;23;21;35;21;1,0952;1,1914;1,6667;1,3569;2,7619;6,32;6,92;3,79;11,53;10,53;8,77;47,86
308;27/08/2023;13:30;CROATIA;HNL - ROUND 6;Istra 1961;Rudes;34;22;28;23;1,5455;1,6983;1,2174;1,1779;2,7629;6,31;9,75;7,54;11,87;7,68;4,68;47,83
309;27/08/2023;15:30;ARGENTINA;TORNEO FEDERAL - ROUND 27;Olimpo Bahia Blanca;Cipolletti;43;22;17;21;1,9545;1,065;0,8095;0,906;2,764;6,3;12,32;12,04;9,97;5,1;2,06;47,79
310;27/08/2023;11:00;AFRICA;CAF CHAMPIONS LEAGUE - QUALIFICATION - SEMI-FINALS;Enyimba;Al Ahly Benghazi;39;21;20;22;1,8571;1,3197;0,9091;0,9;2,7662;6,29;11,68;10,85;10,62;5,72;2,6;47,76
311;27/08/2023;10:00;SWEDEN;SUPERETTAN - ROUND 20;Ostersund;Trelleborg;28;21;33;23;1,3333;1,0389;1,4348;0,9244;2,7681;6,28;8,37;5,58;12,01;9,01;6,46;47,71
312;27/08/2023;12:00;POLAND;III LIGA - GROUP III - ROUND 5;Unia Turza Slaska;Pawlowice;37;22;25;23;1,6818;1,2572;1,087;1,0597;2,7688;6,27;10,55;8,87;11,47;6,82;3,71;47,69
313;27/08/2023;18:00;EL SALVADOR;PRIMERA DIVISION - APERTURA - ROUND 4;Alianza FC;Santa Tecla;39;22;22;22;1,7727;1,6496;1,0;0,9045;2,7727;6,25;11,08;9,82;11,08;6,25;3,12;47,6
314;27/08/2023;10:30;TURKEY;2. LIG WHITE GROUP - ROUND 1;Serik Belediyespor;Afyonspor;35;22;26;22;1,5909;1,0728;1,1818;0,8861;2,7727;6,25;9,94;7,91;11,75;7,38;4,36;47,59
315;27/08/2023;10:15;GERMANY;OBERLIGA WESTFALEN - ROUND 3;Erkenschwick;Vreden;33;22;28;22;1,5;1,4062;1,2727;1,1748;2,7727;6,25;9,37;7,03;11,93;7,95;5,06;47,59
316;27/08/2023;08:30;CHINA;JIA LEAGUE - ROUND 20;Dongguan Guanlian;Shijiazhuang Gongfu;25;20;32;21;1,25;0,9421;1,5238;1,2196;2,7738;6,24;7,8;4,88;11,89;9,51;7,25;47,57
317;27/08/2023;11:30;CZECH REPUBLIC;DIVISION D - ROUND 4;Velka Bites;Zdirec n. D.;29;19;25;20;1,5263;0,9931;1,25;1,479;2,7763;6,23;9,5;7,25;11,88;7,78;4,86;47,5
318;27/08/2023;11:00;SWEDEN;DIVISION 1 - SÖDRA - ROUND 19;Angelholm;Oddevold;27;23;37;23;1,1739;0,9161;1,6087;1,1321;2,7826;6,19;7,26;4,26;11,69;9,96;8,01;47,37
319;27/08/2023;08:30;THAILAND;THAI LEAGUE 2 - ROUND 3;Chiangmai FC;Lampang;41;23;24;24;1,7826;1,5868;1,0;0,9574;2,7826;6,19;11,03;9,83;11,03;6,19;3,09;47,36
320;27/08/2023;08:00;NORWAY;DIVISION 1 WOMEN - ROUND 15;Kil/Hemne W;Grei W;33;22;27;21;1,5;1,118;1,2857;1,8808;2,7857;6,17;9,25;6,94;11,9;7,93;5,1;47,29
321;27/08/2023;16:30;SPAIN;LALIGA2 - ROUND 3;Leganes;Albacete;27;21;30;20;1,2857;0,9828;1,5;1,5652;2,7857;6,17;7,93;5,1;11,9;9,25;6,94;47,29
322;27/08/2023;17:00;WORLD;FRIENDLY INTERNATIONAL;Bolivia;Panama;30;18;28;25;1,6667;1,4142;1,12;1,0323;2,7867;6,16;10,27;8,56;11,5;6,9;3,86;47,25
323;27/08/2023;10:30;LEBANON;PREMIER LEAGUE - ROUND 4;Bourj FC;Nejmeh SC;30;24;40;26;1,25;1,199;1,5385;1,0824;2,7885;6,15;7,69;4,8;11,83;9,46;7,28;47,21
324;27/08/2023;15:30;SLOVAKIA;NIKE LIGA - ROUND 5;Skalica;Trnava;31;19;22;19;1,6316;1,1792;1,1579;0,8744;2,7895;6,14;10,03;8,18;11,61;7,11;4,12;47,19
325;27/08/2023;13:00;GEORGIA;CRYSTALBET EROVNULI LIGA 2 - ROUND 24;Dinamo Tbilisi 2;Merani Tbilisi;32;17;20;22;1,8824;1,3669;0,9091;0,8479;2,7915;6,13;11,55;10,87;10,5;5,58;2,53;47,16
326;27/08/2023;05:00;JAPAN;NADESHIKO LEAGUE WOMEN - ROUND 16;Orca Kamogawa W;Kunoichi W;30;22;30;21;1,3636;1,2629;1,4286;1,0498;2,7922;6,13;8,36;5,7;11,94;8,76;6,25;47,14
327;27/08/2023;14:30;SPAIN;LALIGA2 - ROUND 3;Amorebieta;Andorra;35;21;26;23;1,6667;0,7766;1,1304;1,1153;2,7971;6,1;10,16;8,47;11,49;6,89;3,9;47,01
328;27/08/2023;13:00;PORTUGAL;CAMPEONATO DE PORTUGAL - GROUP D - ROUND 2;Serpa;Oriental;37;20;19;20;1,85;1,2359;0,95;1,0712;2,8;6,08;11,25;10,41;10,69;5,78;2,74;46,95
329;27/08/2023;11:30;AZERBAIJAN;PREMIER LEAGUE - ROUND 4;Neftci Baku;Gabala;34;21;26;22;1,619;1,1329;1,1818;0,936;2,8008;6,08;9,84;7,96;11,63;7,18;4,24;46,93
330;27/08/2023;14:00;CYPRUS;CYTA CHAMPIONSHIP - ROUND 2;APOEL;Paphos;34;21;26;22;1,619;1,2901;1,1818;1,0718;2,8008;6,08;9,84;7,96;11,63;7,18;4,24;46,93
331;27/08/2023;11:00;SLOVAKIA;4. LIGA - EAST - ROUND 6;Velky Saris;Sokol Lubotice;25;24;37;21;1,0417;1,1358;1,7619;1,3768;2,8036;6,06;6,31;3,29;11,12;10,68;9,4;46,86
332;27/08/2023;11:00;SCOTLAND;PREMIERSHIP - ROUND 3;St. Mirren;Aberdeen;29;19;32;25;1,5263;1,2298;1,28;1,8225;2,8063;6,04;9,22;7,04;11,81;7,73;4,95;46,79
333;27/08/2023;13:00;LATVIA;1. LIGA - ROUND 17;Skanste;Tukums 2000 2;38;21;21;21;1,8095;1,4998;1,0;1,0235;2,8095;6,02;10,9;9,86;10,9;6,02;3,01;46,71
334;27/08/2023;10:00;GERMANY;OBERLIGA WESTFALEN - ROUND 3;Sprockhovel;Gievenbeck;29;19;27;21;1,5263;1,4643;1,2857;1,5164;2,812;6,01;9,17;7,0;11,79;7,72;4,97;46,66
335;27/08/2023;10:00;BRAZIL;COPA PAULISTA - ROUND 9;Juventus-SP;Oeste;22;20;36;21;1,1;1,179;1,7143;1,3145;2,8143;6,0;6,6;3,63;11,3;10,28;8,81;46,62
336;27/08/2023;12:30;HUNGARY;NB I WOMEN - ROUND 2;Astra Hungary W;MOL Fehervar W;33;20;21;18;1,65;1,4239;1,1667;1,3017;2,8167;5,98;9,87;8,14;11,51;6,98;4,07;46,55
337;27/08/2023;10:00;RWANDA;PREMIER LEAGUE - ROUND 2;Gorilla;Rayon Sport;29;22;33;22;1,3182;1,1436;1,5;0,723;2,8182;5,97;7,87;5,19;11,81;8,96;6,72;46,52
338;27/08/2023;08:35;CHINA;SUPER LEAGUE - ROUND 24;Wuhan Three Towns;Nantong Zhiyun;36;22;26;22;1,6364;1,2629;1,1818;0,8332;2,8182;5,97;9,77;8,0;11,55;7,06;4,17;46,52
339;27/08/2023;11:30;CZECH REPUBLIC;OLOMOUCKY KP - ROUND 4;Bohunovice;SK Lipova;28;21;33;22;1,3333;1,3569;1,5;1,3734;2,8333;5,88;7,84;5,23;11,76;8,82;6,62;46,15
340;27/08/2023;10:00;FINLAND;VEIKKAUSLIIGA;Haka;KuPS;27;18;28;21;1,5;0,8975;1,3333;0,9428;2,8333;5,88;8,82;6,62;11,76;7,84;5,23;46,15
341;27/08/2023;14:00;PORTUGAL;LIGA 3 - ROUND 4;Oliveira Hospital;Academica;35;22;25;20;1,5909;0,9371;1,25;0,9937;2,8409;5,84;9,29;7,39;11,61;7,29;4,56;45,98
342;27/08/2023;10:00;SWEDEN;ALLSVENSKAN - ROUND 21;Brommapojkarna;Kalmar;33;21;28;22;1,5714;1,2178;1,2727;1,0523;2,8441;5,82;9,15;7,18;11,64;7,4;4,71;45,9
343;27/08/2023;14:00;HUNGARY;MERKANTIL BANK LIGA - ROUND 6;Vasas;Siofok;35;24;36;26;1,4583;1,3534;1,3846;1,0769;2,8429;5,82;8,49;6,19;11,76;8,06;5,58;45,9
344;27/08/2023;14:00;PORTUGAL;LIGA 3 - ROUND 4;Felgueiras;Anadia;34;21;27;22;1,619;1,1329;1,2273;0,9969;2,8463;5,81;9,4;7,61;11,54;7,13;4,37;45,86
345;27/08/2023;15:45;FRANCE;LIGUE 1 - ROUND 3;Nice;Lyon;32;22;32;23;1,4545;1,4687;1,3913;1,2765;2,8458;5,81;8,45;6,15;11,75;8,08;5,62;45,86
346;27/08/2023;12:00;AFRICA;CAF CONFEDERATION CUP - QUALIFICATION - SEMI-FINALS;Dreams;Milo FC;37;23;26;21;1,6087;1,2765;1,2381;1,1914;2,8468;5,8;9,33;7,51;11,56;7,18;4,45;45,83
347;27/08/2023;12:00;FINLAND;VEIKKAUSLIIGA;AC Oulu;HJK;35;22;24;19;1,5909;1,8256;1,2632;1,0178;2,8541;5,76;9,17;7,29;11,58;7,28;4,6;45,68
348;27/08/2023;10:00;GERMANY;OBERLIGA RHEINLAND-PFALZ/SAAR - ROUND 7;Dudenhofen;Morlautern;28;20;32;22;1,4;1,1576;1,4545;1,6439;2,8545;5,76;8,06;5,64;11,72;8,37;6,09;45,64
349;27/08/2023;11:30;CZECH REPUBLIC;DIVISION E - ROUND 4;HFK Olomouc;Skastice;23;20;36;21;1,15;1,1948;1,7143;0,9828;2,8643;5,7;6,56;3,77;11,24;9,77;8,38;45,42
350;27/08/2023;15:45;ITALY;SERIE A - ROUND 2;Lazio;Genoa;30;18;24;20;1,6667;1,2472;1,2;1,077;2,8667;5,69;9,48;7,9;11,38;6,83;4,1;45,38
351;27/08/2023;09:30;MALAWI;SUPER LEAGUE;Mighty Wanderers;MAFCO;39;22;23;21;1,7727;2,0211;1,0952;1,0191;2,8679;5,68;10,07;8,93;11,03;6,22;3,41;45,34
352;27/08/2023;14:15;NORWAY;ELITESERIEN - ROUND 20;Rosenborg;Aalesund;43;25;23;20;1,72;1,0778;1,15;1,4586;2,87;5,67;9,75;8,39;11,21;6,52;3,75;45,29
353;27/08/2023;07:00;SOUTH KOREA;K LEAGUE 2 - ROUND 28;Anyang;Jeonnam;31;23;32;21;1,3478;1,0471;1,5238;1,562;2,8716;5,66;7,63;5,14;11,63;8,63;6,57;45,26
354;27/08/2023;10:00;GERMANY;OBERLIGA NIEDERRHEIN - ROUND 3;Homberg;SC St.Tonis;45;24;21;21;1,875;1,4234;1,0;1,2344;2,875;5,64;10,58;9,92;10,58;5,64;2,82;45,18
355;27/08/2023;20:30;URUGUAY;SEGUNDA DIVISION - ROUND 14;Miramar;Uruguay Montevideo;35;22;27;21;1,5909;1,3369;1,2857;1,0754;2,8766;5,63;8,96;7,13;11,52;7,24;4,65;45,13
356;27/08/2023;08:30;GERMANY;3. LIGA - ROUND 4;Arminia Bielefeld;Regensburg;40;25;23;18;1,6;1,2;1,2778;1,4834;2,8778;5,63;9,0;7,2;11,5;7,19;4,59;45,11
